Fact,Fact Note,"Glendale city, California","Value Note for Glendale city, California","Fullerton city, California","Value Note for Fullerton city, California","Fresno city, California","Value Note for Fresno city, California","Fountain Valley city, California","Value Note for Fountain Valley city, California","Fortuna city, California","Value Note for Fortuna city, California","El Segundo city, California","Value Note for El Segundo city, California"
"Population estimates, July 1, 2019,  (V2019)",,"199,303",,"138,632",,"531,576",,"55,357",,"12,259",,"16,610",
"Population estimates base, April 1, 2010,  (V2019)",,"191,692",,"135,233",,"497,172",,"55,360",,"12,039",,"16,656",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,4.00%,,2.50%,,6.90%,,0.00%,,1.80%,,-0.30%,
"Population, Census, April 1, 2010",,"191,719",,"135,161",,"494,665",,"55,313",,"11,926",,"16,654",
"Persons under 5 years, percent",,5.00%,,6.30%,,8.50%,,4.50%,,5.60%,,7.60%,
"Persons under 18 years, percent",,17.60%,,21.80%,,28.80%,,19.80%,,23.80%,,23.30%,
"Persons 65 years and over, percent",,17.10%,,13.00%,,10.90%,,19.20%,,18.30%,,11.60%,
"Female persons, percent",,53.00%,,50.40%,,50.80%,,51.30%,,51.90%,,51.80%,
"White alone, percent",,73.70%,,56.10%,,58.20%,,54.40%,,82.60%,,71.20%,
"Black or African American alone, percent",(a),1.60%,,2.70%,,7.60%,,0.60%,,0.60%,,3.80%,
"American Indian and Alaska Native alone, percent",(a),0.40%,,0.40%,,1.20%,,0.30%,,3.20%,,0.40%,
"Asian alone, percent",(a),15.50%,,24.60%,,13.70%,,34.90%,,0.30%,,9.70%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,,0.40%,,0.10%,,0.30%,,0.70%,,0.00%,
"Two or More Races, percent",,3.30%,,4.90%,,4.20%,,4.70%,,5.40%,,10.70%,
"Hispanic or Latino, percent",(b),18.20%,,37.20%,,49.40%,,15.80%,,20.20%,,12.90%,
"White alone, not Hispanic or Latino, percent",,62.00%,,32.30%,,27.10%,,45.40%,,72.10%,,64.00%,
"Veterans, 2014-2018",,"3,928",,"4,866",,"19,449",,"2,762",,895,,639,
"Foreign born persons, percent, 2014-2018",,53.60%,,30.10%,,20.60%,,29.70%,,9.20%,,13.70%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,32.90%,,51.70%,,46.40%,,68.80%,,55.40%,,44.30%,
"Median value of owner-occupied housing units, 2014-2018",,"$724,800 ",,"$625,800 ",,"$224,600 ",,"$688,000 ",,"$266,000 ",,"$969,700 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,898 ",,"$2,614 ",,"$1,518 ",,"$2,663 ",,"$1,610 ",,"$3,538 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$702 ,,$566 ,,$458 ,,$582 ,,$435 ,,$605 ,
"Median gross rent, 2014-2018",,"$1,529 ",,"$1,563 ",,$969 ,,"$1,932 ",,$940 ,,"$1,785 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"73,871",,"45,782",,"166,758",,"18,597",,"4,679",,"6,639",
"Persons per household, 2014-2018",,2.69,,2.98,,3.08,,3,,2.55,,2.53,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,88.90%,,83.60%,,82.50%,,89.50%,,82.10%,,87.90%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,68.20%,,46.80%,,43.60%,,40.50%,,16.10%,,18.30%,
"Households with a computer, percent, 2014-2018",,86.20%,,94.30%,,87.90%,,95.40%,,88.60%,,96.10%,
"Households with a broadband Internet subscription, percent, 2014-2018",,82.40%,,89.00%,,78.90%,,90.20%,,75.50%,,90.80%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,86.60%,,87.10%,,76.70%,,90.60%,,86.30%,,96.30%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,39.40%,,41.20%,,21.60%,,42.90%,,17.20%,,52.80%,
"With a disability, under age 65 years, percent, 2014-2018",,6.60%,,5.80%,,10.40%,,7.30%,,12.30%,,5.00%,
"Persons  without health insurance, under age 65 years, percent",,10.00%,,9.00%,,10.40%,,7.00%,,11.60%,,4.50%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,61.70%,,65.40%,,61.40%,,60.60%,,57.40%,,73.20%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,55.60%,,59.30%,,56.10%,,55.40%,,52.30%,,68.50%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"400,499",,"293,087",,"841,297",,"128,292",,"18,922",,"197,865",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"1,638,525",,"1,078,558",,"4,486,734",,"953,845",,"68,836",,"85,886",
"Total manufacturers shipments, 2012 ($1,000)",(c),"842,272",,"2,032,215",,"4,367,746",,"2,318,099",,D,,"26,544,184",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"1,386,584",,"2,539,641",,"5,459,791",,"657,061",,"14,546",,"2,714,482",
