Fact,Fact Note,"West Covina city, California","Value Note for West Covina city, California","Rancho Santa Margarita city, California","Value Note for Rancho Santa Margarita city, California","Chula Vista city, California","Value Note for Chula Vista city, California","Encinitas city, California","Value Note for Encinitas city, California","Laguna Beach city, California","Value Note for Laguna Beach city, California","El Cajon city, California","Value Note for El Cajon city, California"
"Population estimates, July 1, 2019,  (V2019)",,"105,101",,"47,896",,"274,492",,"62,709",,"22,827",,"102,708",
"Population estimates base, April 1, 2010,  (V2019)",,"106,108",,"47,855",,"243,923",,"59,526",,"22,733",,"99,584",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,-0.90%,,0.10%,,12.50%,,5.30%,,0.40%,,3.10%,
"Population, Census, April 1, 2010",,"106,098",,"47,853",,"243,916",,"59,518",,"22,723",,"99,478",
"Persons under 5 years, percent",,5.90%,,7.00%,,6.80%,,5.00%,,3.40%,,7.80%,
"Persons under 18 years, percent",,21.80%,,26.10%,,25.70%,,20.70%,,16.00%,,25.40%,
"Persons 65 years and over, percent",,15.00%,,8.00%,,12.10%,,17.70%,,23.30%,,11.90%,
"Female persons, percent",,51.50%,,51.40%,,50.60%,,50.80%,,50.00%,,49.30%,
"White alone, percent",,34.90%,,77.10%,,65.60%,,88.70%,,90.80%,,73.50%,
"Black or African American alone, percent",(a),4.20%,,2.90%,,4.60%,,0.80%,,0.80%,,6.00%,
"American Indian and Alaska Native alone, percent",(a),0.60%,,0.40%,,0.30%,,0.30%,,0.10%,,0.50%,
"Asian alone, percent",(a),29.70%,,10.70%,,16.00%,,3.80%,,3.70%,,3.80%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.30%,,0.10%,,0.70%,,0.10%,,0.30%,,0.40%,
"Two or More Races, percent",,4.60%,,5.30%,,5.50%,,3.40%,,2.80%,,6.50%,
"Hispanic or Latino, percent",(b),53.20%,,20.70%,,58.80%,,13.10%,,7.40%,,28.50%,
"White alone, not Hispanic or Latino, percent",,11.30%,,61.90%,,17.90%,,79.50%,,84.70%,,57.10%,
"Veterans, 2014-2018",,"3,381",,"1,666",,"16,261",,"3,760",,"1,363",,"7,136",
"Foreign born persons, percent, 2014-2018",,35.60%,,16.70%,,30.70%,,13.10%,,13.00%,,29.50%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,64.10%,,71.10%,,58.30%,,63.20%,,63.20%,,39.30%,
"Median value of owner-occupied housing units, 2014-2018",,"$490,000 ",,"$652,400 ",,"$465,000 ",,"$913,700 ",,"$1,700,400 ",,"$430,700 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,215 ",,"$2,949 ",,"$2,491 ",,"$3,176 ",,"$4,000+",,"$2,187 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$525 ,,$738 ,,$517 ,,$735 ,,$828 ,,$563 ,
"Median gross rent, 2014-2018",,"$1,602 ",,"$1,953 ",,"$1,536 ",,"$1,886 ",,"$2,230 ",,"$1,277 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"30,513",,"17,290",,"78,940",,"23,996",,"10,542",,"32,844",
"Persons per household, 2014-2018",,3.48,,2.82,,3.35,,2.6,,2.19,,3.06,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,89.20%,,86.50%,,89.70%,,87.50%,,88.20%,,80.90%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,59.20%,,21.10%,,58.90%,,16.20%,,11.90%,,44.10%,
"Households with a computer, percent, 2014-2018",,93.70%,,97.00%,,91.10%,,94.80%,,96.10%,,92.50%,
"Households with a broadband Internet subscription, percent, 2014-2018",,86.30%,,94.60%,,85.90%,,91.70%,,91.90%,,86.50%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,85.10%,,95.60%,,82.00%,,95.30%,,97.70%,,83.00%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,28.80%,,51.50%,,28.80%,,61.00%,,67.00%,,20.10%,
"With a disability, under age 65 years, percent, 2014-2018",,5.90%,,4.00%,,5.60%,,3.80%,,4.30%,,8.70%,
"Persons  without health insurance, under age 65 years, percent",,8.90%,,4.50%,,8.80%,,6.80%,,4.60%,,9.90%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,64.00%,,73.70%,,63.40%,,65.10%,,63.20%,,61.70%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,59.20%,,65.80%,,58.10%,,57.50%,,56.80%,,53.60%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"184,466",,"76,359",,"357,906",,"277,859",,"251,224",,"173,568",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"795,646",,"66,493",,"1,191,992",,"636,415",,D,,"393,942",
"Total manufacturers shipments, 2012 ($1,000)",(c),"104,125",,"682,773",,"1,363,360",,"48,203",,"31,873",,D,
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"203,580",,"364,418",,"1,406,408",,"212,057",,D,,"556,804",
"Total retail sales, 2012 ($1,000)",(c),"1,476,317",,"540,596",,"2,744,353",,"1,119,702",,"202,302",,"1,756,003",
"Total retail sales per capita, 2012",(c),"$13,741 ",,"$11,060 ",,"$10,872 ",,"$18,358 ",,"$8,729 ",,"$17,312 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,34.3,,29.7,,29.7,,25.2,,27.9,,27.3,
"Median household income (in 2018 dollars), 2014-2018",,"$79,140 ",,"$115,073 ",,"$76,354 ",,"$113,175 ",,"$121,474 ",,"$52,593 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$28,474 ",,"$51,219 ",,"$29,143 ",,"$62,251 ",,"$92,391 ",,"$23,723 ",
"Persons in poverty, percent",,9.60%,,4.20%,,10.80%,,6.90%,,6.80%,,21.70%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"8,574",,"4,937",,"17,409",,"10,307",,"4,944",,"8,326",
"Men-owned firms, 2012",,"4,346",,"2,720",,"8,952",,"5,199",,"2,669",,"4,553",
"Women-owned firms, 2012",,"3,360",,"1,591",,"6,786",,"3,670",,"1,695",,"2,770",
"Minority-owned firms, 2012",,"6,692",,"1,179",,"12,286",,"1,575",,643,,"2,478",
"Nonminority-owned firms, 2012",,"1,616",,"3,525",,"4,451",,"8,150",,"4,117",,"5,424",
"Veteran-owned firms, 2012",,391,,414,,"1,186",,816,,346,,"1,077",
"Nonveteran-owned firms, 2012",,"7,864",,"4,285",,"15,563",,"9,066",,"4,396",,"6,785",
"Population per square mile, 2010",,"6,614.20",,"3,693.20",,"4,914.60",,"3,163.80",,"2,567.60",,"6,892.40",
"Land area in square miles, 2010",,16.04,,12.96,,49.63,,18.81,,8.85,,14.43,
FIPS Code,,"""0684200""",,"""0659587""",,"""0613392""",,"""0622678""",,"""0639178""",,"""0621712""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
