Fact,Fact Note,"Wasco city, California","Value Note for Wasco city, California","Victorville city, California","Value Note for Victorville city, California","Vallejo city, California","Value Note for Vallejo city, California","Ukiah city, California","Value Note for Ukiah city, California","Tustin city, California","Value Note for Tustin city, California","Tulare city, California","Value Note for Tulare city, California"
"Population estimates, July 1, 2019,  (V2019)",,"28,710",,"122,385",,"121,692",,"15,995",,"79,348",,"65,496",
"Population estimates base, April 1, 2010,  (V2019)",,"25,549",,"115,899",,"115,914",,"16,083",,"75,317",,"59,293",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,12.40%,,5.60%,,5.00%,,-0.50%,,5.40%,,10.50%,
"Population, Census, April 1, 2010",,"25,545",,"115,903",,"115,942",,"16,075",,"75,540",,"59,278",
"Persons under 5 years, percent",,6.80%,,9.00%,,6.40%,,7.20%,,7.60%,,9.50%,
"Persons under 18 years, percent",,25.30%,,32.50%,,21.10%,,24.10%,,25.10%,,32.50%,
"Persons 65 years and over, percent",,6.80%,,9.20%,,15.20%,,14.80%,,9.90%,,9.10%,
"Female persons, percent",,41.20%,,50.20%,,51.70%,,49.80%,,50.50%,,50.80%,
"White alone, percent",,80.30%,,63.60%,,36.60%,,81.60%,,46.00%,,78.40%,
"Black or African American alone, percent",(a),6.50%,,17.00%,,21.20%,,0.80%,,2.70%,,3.90%,
"American Indian and Alaska Native alone, percent",(a),0.80%,,0.90%,,0.40%,,2.60%,,0.30%,,1.00%,
"Asian alone, percent",(a),0.80%,,3.80%,,23.80%,,1.90%,,21.60%,,1.60%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.20%,,0.20%,,1.00%,,0.20%,,0.30%,,0.20%,
"Two or More Races, percent",,2.90%,,6.10%,,6.90%,,4.30%,,5.00%,,3.90%,
"Hispanic or Latino, percent",(b),81.60%,,54.10%,,25.50%,,37.30%,,41.80%,,61.70%,
"White alone, not Hispanic or Latino, percent",,9.40%,,22.20%,,24.20%,,54.20%,,30.60%,,31.10%,
"Veterans, 2014-2018",,461,,"5,834",,"7,056",,879,,"2,436",,"1,773",
"Foreign born persons, percent, 2014-2018",,29.50%,,17.90%,,26.10%,,18.00%,,33.40%,,19.20%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,58.20%,,54.40%,,54.90%,,46.00%,,48.00%,,55.70%,
"Median value of owner-occupied housing units, 2014-2018",,"$160,000 ",,"$205,300 ",,"$338,200 ",,"$330,300 ",,"$618,500 ",,"$188,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,158 ",,"$1,422 ",,"$1,929 ",,"$1,770 ",,"$2,604 ",,"$1,416 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$392 ,,$442 ,,$498 ,,$390 ,,$640 ,,$413 ,
"Median gross rent, 2014-2018",,$745 ,,"$1,229 ",,"$1,406 ",,"$1,120 ",,"$1,765 ",,"$1,009 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"5,925",,"32,917",,"41,991",,"5,923",,"26,132",,"18,408",
"Persons per household, 2014-2018",,3.58,,3.57,,2.85,,2.58,,3.03,,3.39,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,82.10%,,83.30%,,84.50%,,84.20%,,83.20%,,87.20%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,70.80%,,34.80%,,37.00%,,33.90%,,53.90%,,44.60%,
"Households with a computer, percent, 2014-2018",,60.40%,,91.60%,,91.70%,,84.00%,,96.30%,,83.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,54.00%,,84.40%,,86.50%,,79.10%,,89.80%,,75.90%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,53.90%,,79.10%,,87.90%,,81.10%,,84.60%,,74.00%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,2.60%,,12.70%,,26.10%,,21.80%,,42.60%,,11.20%,
"With a disability, under age 65 years, percent, 2014-2018",,3.40%,,8.00%,,8.40%,,11.80%,,5.20%,,9.10%,
"Persons  without health insurance, under age 65 years, percent",,10.20%,,9.20%,,7.10%,,10.30%,,9.60%,,10.70%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,43.60%,,55.40%,,63.30%,,62.20%,,71.90%,,59.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,49.40%,,51.90%,,57.80%,,56.20%,,64.40%,,49.70%,
