Fact,Fact Note,"Hillsborough town, California","Value Note for Hillsborough town, California","Hemet city, California","Value Note for Hemet city, California","Healdsburg city, California","Value Note for Healdsburg city, California","Hayward city, California","Value Note for Hayward city, California","Grover Beach city, California","Value Note for Grover Beach city, California","Glendora city, California","Value Note for Glendora city, California"
"Population estimates, July 1, 2019,  (V2019)",,"11,387",,"85,334",,"11,845",,"159,203",,"13,459",,"51,544",
"Population estimates base, April 1, 2010,  (V2019)",,"10,839",,"78,630",,"11,255",,"144,427",,"13,161",,"50,267",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,5.10%,,8.50%,,5.20%,,10.20%,,2.30%,,2.50%,
"Population, Census, April 1, 2010",,"10,825",,"78,657",,"11,254",,"144,186",,"13,156",,"50,073",
"Persons under 5 years, percent",,3.80%,,6.30%,,3.80%,,6.30%,,9.00%,,5.60%,
"Persons under 18 years, percent",,25.70%,,26.40%,,19.80%,,21.80%,,25.50%,,22.40%,
"Persons 65 years and over, percent",,22.40%,,21.90%,,22.10%,,11.70%,,14.50%,,16.10%,
"Female persons, percent",,49.70%,,52.60%,,53.20%,,50.40%,,50.60%,,51.60%,
"White alone, percent",,62.00%,,74.90%,,77.50%,,38.70%,,79.70%,,70.80%,
"Black or African American alone, percent",(a),1.00%,,8.00%,,0.00%,,10.30%,,2.80%,,2.00%,
"American Indian and Alaska Native alone, percent",(a),0.10%,,1.50%,,0.70%,,0.70%,,0.90%,,0.60%,
"Asian alone, percent",(a),30.90%,,3.50%,,1.50%,,25.70%,,4.20%,,10.80%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.00%,,0.30%,,0.00%,,2.10%,,0.50%,,0.20%,
"Two or More Races, percent",,5.00%,,4.30%,,6.10%,,6.70%,,4.20%,,6.60%,
"Hispanic or Latino, percent",(b),4.10%,,43.30%,,30.00%,,40.80%,,31.50%,,33.90%,
"White alone, not Hispanic or Latino, percent",,58.80%,,42.50%,,65.50%,,16.90%,,58.60%,,49.20%,
"Veterans, 2014-2018",,360,,"6,960",,745,,"4,618",,796,,"2,365",
"Foreign born persons, percent, 2014-2018",,23.80%,,15.30%,,14.50%,,37.90%,,10.20%,,18.40%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,94.40%,,58.00%,,61.30%,,51.80%,,45.40%,,70.10%,
"Median value of owner-occupied housing units, 2014-2018",,"$2,000,000+",,"$175,700 ",,"$674,600 ",,"$519,600 ",,"$464,000 ",,"$562,500 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$4,000+",,"$1,368 ",,"$2,529 ",,"$2,428 ",,"$2,210 ",,"$2,439 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,"$1,500+",,$449 ,,$634 ,,$546 ,,$408 ,,$591 ,
"Median gross rent, 2014-2018",,"$3,500+",,"$1,066 ",,"$1,668 ",,"$1,712 ",,"$1,328 ",,"$1,561 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"3,664",,"29,193",,"4,666",,"47,768",,"5,216",,"16,984",
"Persons per household, 2014-2018",,3.12,,2.85,,2.52,,3.25,,2.59,,2.99,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,91.30%,,83.70%,,86.90%,,90.30%,,82.50%,,89.10%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,28.80%,,30.20%,,22.80%,,58.60%,,21.80%,,29.10%,
"Households with a computer, percent, 2014-2018",,98.70%,,83.60%,,95.60%,,93.60%,,90.10%,,94.60%,
