Fact,Fact Note,"San Carlos city, California","Value Note for San Carlos city, California","Rolling Hills Estates city, California","Value Note for Rolling Hills Estates city, California","Palos Verdes Estates city, California","Value Note for Palos Verdes Estates city, California","Rancho Palos Verdes city, California","Value Note for Rancho Palos Verdes city, California","Los Altos city, California","Value Note for Los Altos city, California","Redondo Beach city, California","Value Note for Redondo Beach city, California"
"Population estimates, July 1, 2019,  (V2019)",,"30,185",,"8,058",,"13,273",,"41,530",,"30,089",,"66,749",
"Population estimates base, April 1, 2010,  (V2019)",,"28,379",,"8,060",,"13,438",,"41,688",,"29,024",,"66,931",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,6.40%,,0.00%,,-1.20%,,-0.40%,,3.70%,,-0.30%,
"Population, Census, April 1, 2010",,"28,406",,"8,067",,"13,438",,"41,643",,"28,976",,"66,748",
"Persons under 5 years, percent",,6.50%,,3.70%,,4.50%,,3.20%,,4.20%,,6.10%,
"Persons under 18 years, percent",,24.40%,,22.90%,,22.70%,,21.90%,,26.40%,,21.40%,
"Persons 65 years and over, percent",,15.50%,,26.10%,,26.20%,,25.50%,,19.80%,,12.80%,
"Female persons, percent",,51.90%,,51.90%,,52.30%,,52.40%,,51.90%,,48.90%,
"White alone, percent",,75.20%,,61.20%,,73.80%,,57.80%,,64.00%,,72.20%,
"Black or African American alone, percent",(a),0.70%,,2.20%,,0.30%,,1.80%,,0.40%,,3.20%,
"American Indian and Alaska Native alone, percent",(a),0.10%,,0.00%,,0.00%,,0.20%,,0.20%,,0.40%,
"Asian alone, percent",(a),16.20%,,29.10%,,21.10%,,30.90%,,29.40%,,12.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.40%,,0.00%,,0.10%,,0.70%,,0.00%,,0.10%,
"Two or More Races, percent",,5.90%,,4.50%,,4.40%,,6.20%,,5.20%,,7.00%,
"Hispanic or Latino, percent",(b),8.60%,,9.40%,,9.60%,,9.00%,,4.30%,,17.40%,
"White alone, not Hispanic or Latino, percent",,68.50%,,55.40%,,65.60%,,52.30%,,60.50%,,60.40%,
"Veterans, 2014-2018",,965,,290,,746,,"2,476",,"1,108",,"2,810",
"Foreign born persons, percent, 2014-2018",,19.70%,,25.30%,,20.40%,,27.90%,,28.60%,,19.40%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,71.90%,,92.50%,,86.90%,,78.00%,,82.60%,,50.50%,
"Median value of owner-occupied housing units, 2014-2018",,"$1,502,300 ",,"$1,229,300 ",,"$1,680,600 ",,"$1,114,800 ",,"$2,000,000+",,"$875,000 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$4,000+",,"$4,000+",,"$4,000+",,"$3,770 ",,"$4,000+",,"$3,299 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$863 ,,"$1,014 ",,$965 ,,$768 ,,"$1,225 ",,$656 ,
"Median gross rent, 2014-2018",,"$2,182 ",,"$3,382 ",,"$2,490 ",,"$2,676 ",,"$3,169 ",,"$1,987 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"11,327",,"2,918",,"4,806",,"15,573",,"10,585",,"27,621",
"Persons per household, 2014-2018",,2.64,,2.81,,2.81,,2.68,,2.86,,2.45,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,88.40%,,91.30%,,90.00%,,90.20%,,90.30%,,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,21.40%,,31.60%,,27.10%,,38.00%,,31.60%,,24.00%,
"Households with a computer, percent, 2014-2018",,94.70%,,96.20%,,97.40%,,95.60%,,97.10%,,96.30%,
"Households with a broadband Internet subscription, percent, 2014-2018",,92.20%,,92.80%,,93.10%,,91.40%,,94.90%,,92.00%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,97.20%,,98.50%,,98.80%,,97.30%,,98.40%,,96.40%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,68.60%,,67.80%,,75.80%,,67.60%,,82.60%,,59.20%,
"With a disability, under age 65 years, percent, 2014-2018",,3.00%,,4.90%,,3.10%,,3.30%,,2.20%,,4.70%,
"Persons  without health insurance, under age 65 years, percent",,2.70%,,5.70%,,3.00%,,3.20%,,1.20%,,4.80%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,71.80%,,54.10%,,51.70%,,55.10%,,59.20%,,71.80%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,65.10%,,43.40%,,41.60%,,48.30%,,51.60%,,66.90%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"104,438",,"26,219",,"6,134",,"127,910",,"84,041",,"247,461",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"98,736",,"40,708",,"26,602",,"87,397",,"181,092",,"211,291",
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,D,,D,,D,,"29,960",,D,
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"488,767",,D,,"60,079",,"209,135",,D,,"156,168",
"Total retail sales, 2012 ($1,000)",(c),"490,059",,"148,843",,"25,890",,"128,153",,D,,"869,741",
"Total retail sales per capita, 2012",(c),"$16,845 ",,"$18,174 ",,"$1,903 ",,"$3,028 ",,NA,,"$12,848 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,29.2,,32,,35.3,,35.3,,24.4,,30.4,
"Median household income (in 2018 dollars), 2014-2018",,"$169,640 ",,"$143,873 ",,"$175,000 ",,"$133,286 ",,"$215,339 ",,"$112,271 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$83,961 ",,"$74,080 ",,"$87,330 ",,"$63,970 ",,"$105,635 ",,"$58,514 ",
"Persons in poverty, percent",,2.90%,,3.70%,,5.40%,,4.20%,,3.40%,,4.50%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"4,245",,"1,727",,"1,877",,"4,426",,"3,807",,"9,648",
"Men-owned firms, 2012",,"2,427",,889,,969,,"2,332",,"1,931",,"5,136",
"Women-owned firms, 2012",,"1,353",,643,,545,,"1,610",,"1,130",,"3,610",
"Minority-owned firms, 2012",,"1,030",,468,,448,,"1,820",,"1,237",,"2,543",
"Nonminority-owned firms, 2012",,"3,012",,"1,174",,"1,212",,"2,439",,"2,168",,"6,614",
"Veteran-owned firms, 2012",,340,,233,,215,,274,,259,,664,
"Nonveteran-owned firms, 2012",,"3,692",,"1,352",,"1,508",,"4,082",,"3,140",,"8,672",
"Population per square mile, 2010",,"5,129.30",,"2,260.30",,"2,814.80",,"3,092.70",,"4,466.80",,"10,769.30",
"Land area in square miles, 2010",,5.54,,3.57,,4.77,,13.47,,6.49,,6.2,
FIPS Code,,"""0665070""",,"""0662644""",,"""0655380""",,"""0659514""",,"""0643280""",,"""0660018""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
