Fact,Fact Note,"Santa Barbara city, California","Value Note for Santa Barbara city, California","Santa Ana city, California","Value Note for Santa Ana city, California","Sanger city, California","Value Note for Sanger city, California","San Luis Obispo city, California","Value Note for San Luis Obispo city, California","San Juan Capistrano city, California","Value Note for San Juan Capistrano city, California","San Buenaventura (Ventura) city, California","Value Note for San Buenaventura (Ventura) city, California"
"Population estimates, July 1, 2019,  (V2019)",,"91,364",,"332,318",,"25,339",,"47,459",,"35,911",,"109,106",
"Population estimates base, April 1, 2010,  (V2019)",,"88,380",,"324,774",,"24,262",,"45,121",,"34,426",,"107,217",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,3.40%,,2.30%,,4.40%,,5.20%,,4.30%,,1.80%,
"Population, Census, April 1, 2010",,"88,410",,"324,528",,"24,270",,"45,119",,"34,593",,"106,433",
"Persons under 5 years, percent",,4.90%,,7.50%,,8.20%,,3.30%,,6.10%,,6.40%,
"Persons under 18 years, percent",,17.00%,,27.10%,,31.30%,,13.10%,,24.20%,,21.80%,
"Persons 65 years and over, percent",,18.00%,,8.60%,,10.80%,,12.50%,,18.70%,,15.90%,
"Female persons, percent",,49.70%,,49.10%,,49.60%,,49.00%,,52.10%,,50.60%,
"White alone, percent",,79.60%,,44.20%,,72.20%,,84.20%,,72.00%,,84.40%,
"Black or African American alone, percent",(a),1.30%,,1.10%,,0.00%,,2.20%,,0.90%,,1.80%,
"American Indian and Alaska Native alone, percent",(a),0.70%,,0.60%,,0.80%,,0.40%,,0.60%,,0.90%,
"Asian alone, percent",(a),3.90%,,11.80%,,2.80%,,5.80%,,2.50%,,4.00%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.20%,,0.20%,,0.00%,,0.00%,,0.20%,,0.10%,
"Two or More Races, percent",,3.60%,,1.90%,,2.30%,,3.60%,,3.90%,,5.00%,
"Hispanic or Latino, percent",(b),36.50%,,76.80%,,83.00%,,18.30%,,36.30%,,36.40%,
"White alone, not Hispanic or Latino, percent",,56.20%,,9.40%,,12.50%,,70.70%,,57.70%,,55.10%,
"Veterans, 2014-2018",,"3,776",,"4,828",,468,,"1,631",,"1,756",,"6,637",
"Foreign born persons, percent, 2014-2018",,22.20%,,44.50%,,24.00%,,9.40%,,20.60%,,15.20%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,41.10%,,46.20%,,55.50%,,38.00%,,74.90%,,54.10%,
"Median value of owner-occupied housing units, 2014-2018",,"$993,600 ",,"$455,300 ",,"$192,100 ",,"$617,200 ",,"$678,200 ",,"$537,200 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$3,054 ",,"$2,038 ",,"$1,386 ",,"$2,340 ",,"$2,951 ",,"$2,339 ",
