Fact,Fact Note,"Bakersfield city, California","Value Note for Bakersfield city, California","Azusa city, California","Value Note for Azusa city, California","Atwater city, California","Value Note for Atwater city, California","Antioch city, California","Value Note for Antioch city, California","Anaheim city, California","Value Note for Anaheim city, California","Arcata city, California","Value Note for Arcata city, California"
"Population estimates, July 1, 2019,  (V2019)",,"384,145",,"49,974",,"29,559",,"111,502",,"350,365",,"18,431",
"Population estimates base, April 1, 2010,  (V2019)",,"347,817",,"46,574",,"28,215",,"102,745",,"336,109",,"17,410",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,10.40%,,7.30%,,4.80%,,8.50%,,4.20%,,5.90%,
"Population, Census, April 1, 2010",,"347,483",,"46,361",,"28,168",,"102,372",,"336,265",,"17,231",
"Persons under 5 years, percent",,8.40%,,6.50%,,9.10%,,6.20%,,6.60%,,2.20%,
"Persons under 18 years, percent",,30.10%,,22.00%,,30.90%,,25.30%,,24.50%,,9.90%,
"Persons 65 years and over, percent",,9.70%,,9.70%,,11.30%,,11.70%,,11.10%,,11.50%,
"Female persons, percent",,50.80%,,52.50%,,50.30%,,51.10%,,50.70%,,51.40%,
"White alone, percent",,68.20%,,47.90%,,58.40%,,43.00%,,67.30%,,78.10%,
"Black or African American alone, percent",(a),7.40%,,3.30%,,4.00%,,20.30%,,2.50%,,3.10%,
"American Indian and Alaska Native alone, percent",(a),1.10%,,1.10%,,0.80%,,0.70%,,0.40%,,1.70%,
"Asian alone, percent",(a),7.30%,,12.60%,,3.30%,,10.90%,,16.70%,,2.30%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.20%,,0.20%,,0.10%,,1.00%,,0.40%,,0.40%,
"Two or More Races, percent",,3.90%,,5.60%,,4.80%,,9.40%,,3.30%,,7.40%,
"Hispanic or Latino, percent",(b),49.50%,,63.60%,,57.60%,,33.60%,,54.00%,,16.50%,
"White alone, not Hispanic or Latino, percent",,33.50%,,18.80%,,32.50%,,29.00%,,24.80%,,71.70%,
"Veterans, 2014-2018",,"13,897",,"1,261",,"1,382",,"5,561",,"9,707",,738,
"Foreign born persons, percent, 2014-2018",,18.40%,,29.00%,,21.80%,,22.10%,,36.60%,,3.80%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,58.70%,,52.10%,,52.30%,,60.30%,,45.20%,,39.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$240,900 ",,"$390,100 ",,"$207,800 ",,"$366,100 ",,"$538,700 ",,"$333,600 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,666 ",,"$1,976 ",,"$1,394 ",,"$2,091 ",,"$2,379 ",,"$1,632 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$499 ,,$465 ,,$422 ,,$514 ,,$557 ,,$486 ,
"Median gross rent, 2014-2018",,"$1,078 ",,"$1,389 ",,$972 ,,"$1,658 ",,"$1,569 ",,$953 ,
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"116,854",,"12,697",,"8,984",,"34,102",,"100,615",,"7,311",
"Persons per household, 2014-2018",,3.18,,3.47,,3.24,,3.23,,3.43,,2.22,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,85.00%,,87.00%,,81.10%,,86.20%,,88.40%,,62.60%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,41.10%,,56.00%,,46.80%,,34.90%,,60.80%,,14.90%,
"Households with a computer, percent, 2014-2018",,91.30%,,92.40%,,91.70%,,92.80%,,93.00%,,93.30%,
"Households with a broadband Internet subscription, percent, 2014-2018",,84.40%,,78.40%,,83.50%,,86.00%,,87.70%,,87.80%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,80.40%,,78.90%,,72.60%,,86.90%,,77.10%,,95.50%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,21.80%,,21.80%,,14.40%,,21.00%,,25.50%,,52.20%,
"With a disability, under age 65 years, percent, 2014-2018",,7.50%,,5.50%,,10.70%,,11.80%,,5.30%,,9.30%,
"Persons  without health insurance, under age 65 years, percent",,8.70%,,9.60%,,9.00%,,7.80%,,14.40%,,8.20%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,63.80%,,64.90%,,62.90%,,63.00%,,67.20%,,63.50%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,56.50%,,58.60%,,54.00%,,59.30%,,59.80%,,62.80%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"713,421",,"47,954",,"27,659",,"105,576",,"1,589,090",,"56,345",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"3,073,591",,"31,833",,"36,118",,"1,062,431",,"2,204,716",,"107,014",
"Total manufacturers shipments, 2012 ($1,000)",(c),"646,187",,"1,505,181",,D,,"125,863",,"4,824,368",,"134,093",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"3,693,077",,"882,981",,D,,"276,104",,"7,153,513",,"59,357",
"Total retail sales, 2012 ($1,000)",(c),"5,263,757",,"470,738",,"257,475",,"939,262",,"3,757,876",,"169,546",
"Total retail sales per capita, 2012",(c),"$14,679 ",,"$9,930 ",,"$8,958 ",,"$8,902 ",,"$10,948 ",,"$9,565 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,22.6,,27.8,,27,,45.7,,28.5,,16.5,
"Median household income (in 2018 dollars), 2014-2018",,"$62,340 ",,"$60,227 ",,"$52,542 ",,"$71,422 ",,"$69,443 ",,"$31,674 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$26,323 ",,"$21,632 ",,"$20,261 ",,"$28,138 ",,"$27,501 ",,"$23,790 ",
"Persons in poverty, percent",,18.50%,,15.00%,,21.30%,,14.30%,,15.20%,,37.40%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"25,938",,"3,129",,"1,143",,"6,018",,"29,541",,"1,957",
"Men-owned firms, 2012",,"13,070",,"1,433",,586,,"3,051",,"15,475",,948,
"Women-owned firms, 2012",,"10,008",,"1,427",,352,,"2,193",,"10,359",,748,
"Minority-owned firms, 2012",,"14,254",,"2,275",,520,,"3,493",,"17,152",,261,
"Nonminority-owned firms, 2012",,"10,662",,721,,563,,"2,197",,"11,181",,"1,598",
"Veteran-owned firms, 2012",,"1,744",,206,,129,,501,,"1,731",,140,
"Nonveteran-owned firms, 2012",,"22,871",,"2,816",,918,,"5,213",,"26,489",,"1,719",
"Population per square mile, 2010",,"2,444.20",,"4,801.30",,"4,627.60",,"3,611.10",,"6,747.60",,"1,894.10",
"Land area in square miles, 2010",,142.16,,9.66,,6.09,,28.35,,49.84,,9.1,
FIPS Code,,"""0603526""",,"""0603386""",,"""0603162""",,"""0602252""",,"""0602000""",,"""0602476""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
