Fact,Fact Note,"Placentia city, California","Value Note for Placentia city, California","Laguna Hills city, California","Value Note for Laguna Hills city, California","Aliso Viejo city, California","Value Note for Aliso Viejo city, California","San Ramon city, California","Value Note for San Ramon city, California","Walnut Creek city, California","Value Note for Walnut Creek city, California","Cathedral City city, California","Value Note for Cathedral City city, California"
"Population estimates, July 1, 2019,  (V2019)",,"51,233",,"31,207",,"50,887",,"75,995",,"70,166",,"55,007",
"Population estimates base, April 1, 2010,  (V2019)",,"50,915",,"30,673",,"47,674",,"71,412",,"64,157",,"51,230",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,0.60%,,1.70%,,6.70%,,6.40%,,9.40%,,7.40%,
"Population, Census, April 1, 2010",,"50,533",,"30,344",,"47,823",,"72,148",,"64,173",,"51,200",
"Persons under 5 years, percent",,6.20%,,5.90%,,6.70%,,5.80%,,4.70%,,6.20%,
"Persons under 18 years, percent",,23.70%,,20.70%,,24.60%,,29.00%,,16.60%,,24.20%,
"Persons 65 years and over, percent",,14.50%,,16.30%,,8.30%,,9.90%,,29.10%,,16.10%,
"Female persons, percent",,50.70%,,51.20%,,52.70%,,49.80%,,53.50%,,49.00%,
"White alone, percent",,71.40%,,70.00%,,71.00%,,43.40%,,75.30%,,76.40%,
"Black or African American alone, percent",(a),1.70%,,1.80%,,2.00%,,2.60%,,1.90%,,2.60%,
"American Indian and Alaska Native alone, percent",(a),0.80%,,0.20%,,0.50%,,0.40%,,0.20%,,0.70%,
"Asian alone, percent",(a),17.40%,,15.00%,,15.00%,,45.80%,,14.80%,,5.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.20%,,0.00%,,0.10%,,0.60%,,0.20%,,0.10%,
"Two or More Races, percent",,3.50%,,6.70%,,6.60%,,5.70%,,5.40%,,2.60%,
"Hispanic or Latino, percent",(b),39.40%,,21.00%,,19.10%,,7.40%,,9.80%,,59.60%,
"White alone, not Hispanic or Latino, percent",,39.10%,,58.50%,,59.40%,,38.80%,,69.00%,,30.40%,
"Veterans, 2014-2018",,"2,055",,"1,193",,"1,277",,"2,033",,"4,299",,"2,201",
"Foreign born persons, percent, 2014-2018",,24.10%,,26.40%,,21.60%,,36.10%,,23.10%,,31.20%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
