Fact,Fact Note,"San Bruno city, California","Value Note for San Bruno city, California","Sacramento city, California","Value Note for Sacramento city, California","Rohnert Park city, California","Value Note for Rohnert Park city, California","Riverbank city, California","Value Note for Riverbank city, California","Rialto city, California","Value Note for Rialto city, California","Reedley city, California","Value Note for Reedley city, California"
"Population estimates, July 1, 2019,  (V2019)",,"42,807",,"513,624",,"43,291",,"24,881",,"103,526",,"25,658",
"Population estimates base, April 1, 2010,  (V2019)",,"41,109",,"466,383",,"40,818",,"22,675",,"99,103",,"24,306",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,4.10%,,10.10%,,6.10%,,9.70%,,4.50%,,5.60%,
"Population, Census, April 1, 2010",,"41,114",,"466,488",,"40,971",,"22,678",,"99,171",,"24,194",
"Persons under 5 years, percent",,5.40%,,6.70%,,7.40%,,7.30%,,7.50%,,8.70%,
"Persons under 18 years, percent",,18.70%,,23.50%,,20.70%,,25.70%,,28.50%,,29.30%,
"Persons 65 years and over, percent",,15.10%,,12.70%,,12.00%,,10.80%,,8.90%,,12.10%,
"Female persons, percent",,50.90%,,51.20%,,52.30%,,52.40%,,50.60%,,49.30%,
"White alone, percent",,46.70%,,47.20%,,71.60%,,79.00%,,61.70%,,73.70%,
"Black or African American alone, percent",(a),1.40%,,13.40%,,2.70%,,0.50%,,12.20%,,1.50%,
"American Indian and Alaska Native alone, percent",(a),0.20%,,0.80%,,0.50%,,0.80%,,0.70%,,0.60%,
"Asian alone, percent",(a),30.80%,,18.90%,,5.70%,,5.10%,,2.50%,,2.60%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),2.40%,,1.70%,,0.10%,,0.40%,,0.10%,,0.10%,
"Two or More Races, percent",,7.60%,,7.00%,,5.30%,,5.30%,,3.90%,,5.50%,
"Hispanic or Latino, percent",(b),27.50%,,28.70%,,28.70%,,56.70%,,74.20%,,76.30%,
"White alone, not Hispanic or Latino, percent",,32.50%,,32.50%,,59.00%,,34.80%,,10.30%,,16.60%,
"Veterans, 2014-2018",,"1,628",,"22,364",,"2,225",,712,,"2,960",,737,
"Foreign born persons, percent, 2014-2018",,37.00%,,22.60%,,17.50%,,26.90%,,27.50%,,30.10%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,57.70%,,48.00%,,52.60%,,68.50%,,63.60%,,62.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$839,000 ",,"$313,400 ",,"$415,300 ",,"$274,800 ",,"$285,900 ",,"$187,800 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,999 ",,"$1,800 ",,"$2,004 ",,"$1,587 ",,"$1,641 ",,"$1,362 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$520 ,,$492 ,,$634 ,,$467 ,,$484 ,,$450 ,
"Median gross rent, 2014-2018",,"$2,194 ",,"$1,179 ",,"$1,641 ",,"$1,129 ",,"$1,198 ",,$964 ,
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"14,810",,"183,106",,"15,969",,"7,158",,"25,922",,"7,201",
"Persons per household, 2014-2018",,2.88,,2.66,,2.67,,3.36,,3.95,,3.5,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,90.00%,,82.90%,,80.90%,,91.50%,,89.10%,,90.70%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,48.80%,,38.20%,,26.70%,,50.60%,,58.80%,,62.70%,
"Households with a computer, percent, 2014-2018",,93.30%,,92.00%,,95.50%,,88.50%,,93.90%,,85.30%,
"Households with a broadband Internet subscription, percent, 2014-2018",,88.80%,,83.20%,,89.30%,,84.30%,,74.60%,,71.80%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,88.40%,,84.70%,,89.80%,,72.90%,,69.30%,,64.60%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,42.20%,,32.60%,,27.10%,,13.10%,,10.70%,,14.10%,
"With a disability, under age 65 years, percent, 2014-2018",,5.00%,,8.30%,,8.10%,,6.80%,,7.20%,,9.00%,
"Persons  without health insurance, under age 65 years, percent",,5.50%,,7.70%,,8.30%,,5.10%,,13.30%,,13.10%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,70.40%,,63.10%,,68.90%,,65.70%,,64.50%,,60.60%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,66.30%,,59.10%,,63.00%,,55.20%,,56.30%,,55.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"119,709",,"1,145,662",,"94,958",,"28,867",,"71,778",,D,
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"180,361",,"7,027,206",,"98,550",,"15,535",,"67,362",,"109,063",
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,"3,149,760",,"240,399",,D,,"410,534",,"80,882",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"1,046,594",,"9,800,438",,"299,886",,"5,665",,"739,692",,"59,628",
"Total retail sales, 2012 ($1,000)",(c),"528,652",,"4,363,259",,"637,572",,"232,694",,"541,889",,"146,616",
"Total retail sales per capita, 2012",(c),"$12,538 ",,"$9,176 ",,"$15,463 ",,"$9,988 ",,"$5,326 ",,"$5,902 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,28.3,,25.6,,26.7,,29.8,,32.1,,25.4,
"Median household income (in 2018 dollars), 2014-2018",,"$102,101 ",,"$58,456 ",,"$66,387 ",,"$65,876 ",,"$58,061 ",,"$44,812 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$45,247 ",,"$30,487 ",,"$31,414 ",,"$24,694 ",,"$19,111 ",,"$17,388 ",
"Persons in poverty, percent",,5.00%,,18.30%,,12.90%,,10.50%,,17.60%,,23.10%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
