Fact,Fact Note,"Perris city, California","Value Note for Perris city, California","Patterson city, California","Value Note for Patterson city, California","El Paso de Robles (Paso Robles) city, California","Value Note for El Paso de Robles (Paso Robles) city, California","Pasadena city, California","Value Note for Pasadena city, California","Paramount city, California","Value Note for Paramount city, California","Palo Alto city, California","Value Note for Palo Alto city, California"
"Population estimates, July 1, 2019,  (V2019)",,"79,291",,"22,524",,"32,153",,"141,029",,"53,955",,"65,364",
"Population estimates base, April 1, 2010,  (V2019)",,"68,564",,"20,629",,"29,747",,"137,114",,"54,098",,"64,387",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,15.60%,,9.20%,,8.10%,,2.90%,,-0.30%,,1.50%,
"Population, Census, April 1, 2010",,"68,386",,"20,413",,"29,793",,"137,122",,"54,098",,"64,403",
"Persons under 5 years, percent",,8.60%,,9.30%,,5.70%,,7.00%,,6.70%,,4.60%,
"Persons under 18 years, percent",,32.70%,,29.60%,,22.90%,,18.90%,,28.60%,,23.60%,
"Persons 65 years and over, percent",,6.00%,,9.40%,,15.90%,,15.60%,,7.90%,,18.60%,
"Female persons, percent",,48.30%,,47.60%,,51.70%,,52.00%,,50.20%,,50.90%,
"White alone, percent",,30.70%,,72.70%,,88.90%,,51.00%,,52.10%,,59.70%,
"Black or African American alone, percent",(a),9.90%,,6.60%,,1.50%,,9.80%,,10.20%,,1.60%,
"American Indian and Alaska Native alone, percent",(a),0.60%,,1.80%,,0.30%,,0.30%,,0.40%,,0.30%,
"Asian alone, percent",(a),3.90%,,4.10%,,1.30%,,17.20%,,2.90%,,32.60%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,,1.70%,,0.00%,,0.20%,,0.80%,,0.20%,
"Two or More Races, percent",,2.80%,,5.60%,,1.90%,,4.60%,,2.90%,,4.60%,
"Hispanic or Latino, percent",(b),76.00%,,60.70%,,38.50%,,34.80%,,80.80%,,5.70%,
"White alone, not Hispanic or Latino, percent",,9.20%,,22.40%,,57.30%,,35.40%,,4.80%,,55.20%,
"Veterans, 2014-2018",,"1,546",,947,,"1,951",,"4,533",,856,,"1,929",
"Foreign born persons, percent, 2014-2018",,30.00%,,24.60%,,18.30%,,30.00%,,35.50%,,34.40%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,63.20%,,62.50%,,58.70%,,43.00%,,38.50%,,55.10%,
"Median value of owner-occupied housing units, 2014-2018",,"$261,000 ",,"$285,800 ",,"$433,900 ",,"$737,100 ",,"$323,600 ",,"$2,000,000+",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,678 ",,"$1,787 ",,"$2,170 ",,"$2,876 ",,"$1,768 ",,"$4,000+",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$457 ,,$459 ,,$521 ,,$728 ,,$423 ,,$862 ,
"Median gross rent, 2014-2018",,"$1,329 ",,"$1,485 ",,"$1,188 ",,"$1,598 ",,"$1,335 ",,"$2,471 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"16,744",,"5,824",,"12,109",,"54,394",,"14,452",,"26,212",
"Persons per household, 2014-2018",,4.54,,3.74,,2.6,,2.53,,3.77,,2.54,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,87.70%,,89.40%,,88.20%,,86.60%,,90.30%,,82.80%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,63.70%,,52.90%,,30.00%,,45.20%,,75.40%,,39.80%,
"Households with a computer, percent, 2014-2018",,93.20%,,91.70%,,90.20%,,91.00%,,89.00%,,96.40%,
"Households with a broadband Internet subscription, percent, 2014-2018",,86.00%,,87.80%,,83.20%,,83.50%,,77.00%,,92.30%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,66.20%,,75.00%,,84.20%,,88.10%,,63.30%,,97.40%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,8.50%,,9.80%,,23.80%,,51.20%,,11.30%,,81.90%,
"With a disability, under age 65 years, percent, 2014-2018",,6.30%,,6.30%,,7.40%,,5.70%,,5.80%,,2.60%,
"Persons  without health insurance, under age 65 years, percent",,13.90%,,7.20%,,16.40%,,9.50%,,14.00%,,2.90%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,64.40%,,64.00%,,64.30%,,65.50%,,63.70%,,62.80%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,54.30%,,60.30%,,57.80%,,60.40%,,57.20%,,56.10%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"55,927",,D,,"119,431",,"617,429",,"40,960",,"422,311",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"57,995",,"14,309",,"54,421",,"2,643,350",,"153,428",,"5,025,394",
"Total manufacturers shipments, 2012 ($1,000)",(c),"165,990",,D,,"524,584",,"172,451",,"1,996,285",,"2,798,357",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"204,042",,"296,511",,"129,736",,"2,271,627",,"989,138",,D,
"Total retail sales, 2012 ($1,000)",(c),"609,349",,"115,673",,"625,173",,"2,700,924",,"326,889",,"2,460,952",
