Fact,Fact Note,"Hermosa Beach city, California","Value Note for Hermosa Beach city, California","Chico city, California","Value Note for Chico city, California","Beaumont city, California","Value Note for Beaumont city, California","Ione city, California","Value Note for Ione city, California","Union City city, California","Value Note for Union City city, California","Fremont city, California","Value Note for Fremont city, California"
"Population estimates, July 1, 2019,  (V2019)",,"19,320",,"103,301",,"51,063",,"8,568",,"74,107",,"241,110",
"Population estimates base, April 1, 2010,  (V2019)",,"19,508",,"86,798",,"36,867",,"7,913",,"69,531",,"214,074",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,-1.00%,,19.00%,,38.50%,,8.30%,,6.60%,,12.60%,
"Population, Census, April 1, 2010",,"19,506",,"86,187",,"36,877",,"7,918",,"69,516",,"214,089",
"Persons under 5 years, percent",,5.60%,,5.40%,,7.20%,,2.30%,,5.70%,,6.30%,
"Persons under 18 years, percent",,17.20%,,18.80%,,28.80%,,7.60%,,18.90%,,23.10%,
"Persons 65 years and over, percent",,11.70%,,12.50%,,13.60%,,19.20%,,15.40%,,12.10%,
"Female persons, percent",,46.30%,,50.60%,,51.70%,,26.10%,,48.90%,,50.30%,
"White alone, percent",,84.70%,,82.70%,,68.50%,,72.60%,,19.70%,,24.10%,
"Black or African American alone, percent",(a),1.30%,,2.10%,,7.50%,,9.40%,,5.00%,,3.10%,
"American Indian and Alaska Native alone, percent",(a),0.80%,,0.70%,,0.60%,,1.40%,,0.40%,,0.40%,
"Asian alone, percent",(a),6.20%,,4.30%,,8.20%,,1.40%,,54.60%,,58.40%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.00%,,0.20%,,0.20%,,0.20%,,1.60%,,0.90%,
"Two or More Races, percent",,5.60%,,4.90%,,4.70%,,6.10%,,5.40%,,4.90%,
"Hispanic or Latino, percent",(b),9.80%,,17.90%,,43.20%,,23.80%,,20.60%,,13.10%,
"White alone, not Hispanic or Latino, percent",,77.20%,,71.60%,,38.50%,,61.30%,,14.70%,,20.70%,
"Veterans, 2014-2018",,880,,"4,271",,"2,485",,785,,"2,026",,"4,836",
"Foreign born persons, percent, 2014-2018",,10.20%,,8.20%,,17.90%,,7.80%,,45.30%,,48.20%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,48.70%,,44.60%,,76.70%,,73.60%,,64.40%,,61.60%,
"Median value of owner-occupied housing units, 2014-2018",,"$1,357,300 ",,"$305,300 ",,"$296,700 ",,"$286,100 ",,"$688,800 ",,"$863,800 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$3,984 ",,"$1,714 ",,"$1,946 ",,"$1,499 ",,"$2,757 ",,"$3,026 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$560 ,,$519 ,,$611 ,,$529 ,,$650 ,,$651 ,
"Median gross rent, 2014-2018",,"$2,143 ",,"$1,044 ",,"$1,299 ",,"$1,024 ",,"$2,063 ",,"$2,188 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"8,979",,"35,903",,"13,592",,"1,758",,"21,484",,"74,445",
"Persons per household, 2014-2018",,2.19,,2.47,,3.33,,2.33,,3.44,,3.11,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,79.80%,,75.50%,,87.60%,,74.30%,,91.90%,,89.20%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,10.50%,,16.40%,,33.40%,,20.70%,,65.00%,,61.40%,
"Households with a computer, percent, 2014-2018",,97.00%,,93.50%,,94.40%,,89.40%,,96.50%,,96.10%,
"Households with a broadband Internet subscription, percent, 2014-2018",,93.30%,,86.90%,,87.40%,,85.50%,,90.50%,,92.50%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,97.60%,,93.20%,,88.10%,,81.60%,,90.60%,,93.40%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,75.10%,,37.40%,,25.30%,,13.10%,,37.30%,,56.10%,
"With a disability, under age 65 years, percent, 2014-2018",,3.90%,,9.00%,,6.70%,,9.70%,,4.40%,,3.80%,
"Persons  without health insurance, under age 65 years, percent",,3.60%,,9.50%,,7.00%,,1.10%,,3.50%,,2.70%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,76.60%,,64.60%,,61.00%,,29.80%,,64.90%,,66.80%,
