Fact,Fact Note,"Moreno Valley city, California","Value Note for Moreno Valley city, California","Emeryville city, California","Value Note for Emeryville city, California","Piedmont city, California","Value Note for Piedmont city, California","Alameda city, California","Value Note for Alameda city, California","Berkeley city, California","Value Note for Berkeley city, California","San Leandro city, California","Value Note for San Leandro city, California"
"Population estimates, July 1, 2019,  (V2019)",,"213,055",,"12,086",,"11,135",,"77,624",,"121,363",,"88,815",
"Population estimates base, April 1, 2010,  (V2019)",,"193,305",,"10,112",,"10,695",,"73,812",,"112,513",,"84,977",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,10.20%,,19.50%,,4.10%,,5.20%,,7.90%,,4.50%,
"Population, Census, April 1, 2010",,"193,365",,"10,080",,"10,667",,"73,812",,"112,580",,"84,950",
"Persons under 5 years, percent",,7.50%,,4.30%,,3.50%,,5.70%,,3.70%,,5.40%,
"Persons under 18 years, percent",,28.70%,,8.90%,,25.40%,,20.30%,,12.70%,,19.90%,
"Persons 65 years and over, percent",,8.20%,,13.50%,,20.70%,,15.00%,,13.70%,,15.10%,
"Female persons, percent",,51.60%,,52.20%,,52.10%,,51.60%,,50.80%,,52.20%,
"White alone, percent",,36.10%,,46.10%,,74.80%,,48.60%,,59.30%,,37.70%,
"Black or African American alone, percent",(a),18.20%,,13.80%,,1.90%,,7.10%,,8.10%,,10.70%,
"American Indian and Alaska Native alone, percent",(a),0.40%,,0.40%,,0.20%,,0.40%,,0.50%,,1.00%,
"Asian alone, percent",(a),6.40%,,28.40%,,16.90%,,31.20%,,20.20%,,34.50%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.40%,,0.60%,,0.10%,,0.50%,,0.50%,,1.00%,
"Two or More Races, percent",,3.00%,,6.00%,,6.10%,,8.20%,,7.50%,,6.60%,
"Hispanic or Latino, percent",(b),58.00%,,10.70%,,3.60%,,12.00%,,11.40%,,27.30%,
"White alone, not Hispanic or Latino, percent",,15.50%,,41.90%,,71.70%,,42.80%,,53.80%,,23.30%,
"Veterans, 2014-2018",,"7,845",,343,,490,,"3,162",,"3,320",,"3,682",
"Foreign born persons, percent, 2014-2018",,24.50%,,31.60%,,10.90%,,26.10%,,20.60%,,36.20%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,61.00%,,35.60%,,88.80%,,47.60%,,42.90%,,54.90%,
"Median value of owner-occupied housing units, 2014-2018",,"$287,300 ",,"$479,600 ",,"$1,844,000 ",,"$797,300 ",,"$938,400 ",,"$543,100 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,653 ",,"$2,521 ",,"$4,000+",,"$2,985 ",,"$3,204 ",,"$2,298 ",
