Fact,Fact Note,"Torrance city, California","Value Note for Torrance city, California","Thousand Oaks city, California","Value Note for Thousand Oaks city, California","Sunnyvale city, California","Value Note for Sunnyvale city, California","Sonoma city, California","Value Note for Sonoma city, California","Soledad city, California","Value Note for Soledad city, California","Sierra Madre city, California","Value Note for Sierra Madre city, California"
"Population estimates, July 1, 2019,  (V2019)",,"143,592",,"126,813",,"152,703",,"11,024",,"25,999",,"10,793",
"Population estimates base, April 1, 2010,  (V2019)",,"145,151",,"126,490",,"140,060",,"10,657",,"25,738",,"10,917",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,-1.10%,,0.30%,,9.00%,,3.40%,,1.00%,,-1.10%,
"Population, Census, April 1, 2010",,"145,438",,"126,683",,"140,081",,"10,648",,"25,738",,"10,917",
"Persons under 5 years, percent",,6.10%,,5.00%,,7.70%,,3.50%,,6.30%,,4.60%,
"Persons under 18 years, percent",,20.90%,,21.90%,,21.50%,,16.40%,,22.40%,,18.20%,
"Persons 65 years and over, percent",,16.70%,,18.30%,,11.80%,,28.30%,,5.80%,,22.00%,
"Female persons, percent",,51.20%,,51.30%,,48.40%,,53.10%,,31.30%,,51.60%,
"White alone, percent",,47.30%,,82.40%,,42.10%,,87.10%,,51.40%,,78.60%,
"Black or African American alone, percent",(a),2.70%,,1.40%,,1.70%,,0.30%,,8.60%,,1.30%,
"American Indian and Alaska Native alone, percent",(a),0.60%,,0.40%,,0.40%,,0.10%,,0.80%,,0.20%,
"Asian alone, percent",(a),36.60%,,9.60%,,45.90%,,3.00%,,2.20%,,12.30%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.60%,,0.10%,,0.20%,,0.00%,,0.20%,,0.20%,
"Two or More Races, percent",,6.50%,,4.10%,,4.40%,,4.50%,,4.90%,,5.30%,
"Hispanic or Latino, percent",(b),17.50%,,18.30%,,17.30%,,15.50%,,72.80%,,16.10%,
"White alone, not Hispanic or Latino, percent",,38.20%,,67.90%,,31.20%,,77.80%,,13.60%,,65.60%,
"Veterans, 2014-2018",,"6,897",,"6,401",,"3,853",,652,,806,,591,
"Foreign born persons, percent, 2014-2018",,29.60%,,17.60%,,48.20%,,11.30%,,30.40%,,14.30%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,55.30%,,70.10%,,46.40%,,61.10%,,60.60%,,62.00%,
"Median value of owner-occupied housing units, 2014-2018",,"$724,700 ",,"$695,400 ",,"$1,111,800 ",,"$728,200 ",,"$330,500 ",,"$924,400 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,803 ",,"$2,831 ",,"$3,236 ",,"$2,897 ",,"$1,677 ",,"$3,574 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$573 ,,$679 ,,$750 ,,$880 ,,$463 ,,$655 ,
"Median gross rent, 2014-2018",,"$1,672 ",,"$2,008 ",,"$2,332 ",,"$1,715 ",,"$1,333 ",,"$1,470 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"54,360",,"45,777",,"55,938",,"5,006",,"3,732",,"4,603",
