Fact,Fact Note,"Mountain View city, California","Value Note for Mountain View city, California","Morro Bay city, California","Value Note for Morro Bay city, California","Monterey city, California","Value Note for Monterey city, California","Monrovia city, California","Value Note for Monrovia city, California","Modesto city, California","Value Note for Modesto city, California","Milpitas city, California","Value Note for Milpitas city, California"
"Population estimates, July 1, 2019,  (V2019)",,"82,739",,"10,543",,"28,178",,"36,331",,"215,196",,"84,196",
"Population estimates base, April 1, 2010,  (V2019)",,"74,008",,"10,235",,"27,691",,"36,600",,"203,114",,"66,820",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,11.80%,,3.00%,,1.80%,,-0.70%,,5.90%,,26.00%,
"Population, Census, April 1, 2010",,"74,066",,"10,234",,"27,810",,"36,590",,"201,165",,"66,790",
"Persons under 5 years, percent",,6.50%,,2.70%,,5.20%,,4.70%,,7.00%,,6.60%,
"Persons under 18 years, percent",,19.70%,,14.40%,,16.20%,,20.80%,,25.30%,,22.10%,
"Persons 65 years and over, percent",,10.80%,,28.60%,,17.40%,,13.40%,,13.80%,,12.00%,
"Female persons, percent",,46.80%,,51.20%,,48.50%,,51.00%,,50.80%,,48.90%,
"White alone, percent",,54.90%,,90.50%,,77.70%,,63.50%,,74.20%,,15.80%,
"Black or African American alone, percent",(a),1.80%,,1.10%,,4.40%,,6.00%,,4.30%,,3.10%,
"American Indian and Alaska Native alone, percent",(a),0.30%,,0.70%,,0.60%,,0.50%,,0.90%,,0.40%,
"Asian alone, percent",(a),31.40%,,2.90%,,7.20%,,14.00%,,7.30%,,67.10%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.40%,,0.00%,,0.10%,,0.60%,,1.20%,,0.40%,
"Two or More Races, percent",,4.80%,,2.50%,,6.60%,,5.90%,,4.40%,,5.10%,
"Hispanic or Latino, percent",(b),17.80%,,13.20%,,16.70%,,40.70%,,38.90%,,14.90%,
"White alone, not Hispanic or Latino, percent",,44.60%,,80.30%,,65.60%,,35.20%,,45.70%,,10.90%,
"Veterans, 2014-2018",,"1,765",,836,,"2,417",,"1,059",,"9,603",,"1,814",
"Foreign born persons, percent, 2014-2018",,41.20%,,8.50%,,16.20%,,26.20%,,18.00%,,52.50%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,41.60%,,58.50%,,38.40%,,46.80%,,55.00%,,64.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$1,214,800 ",,"$582,400 ",,"$764,400 ",,"$634,300 ",,"$265,100 ",,"$782,300 ",
