Fact,Fact Note,"Long Beach city, California","Value Note for Long Beach city, California","Lompoc city, California","Value Note for Lompoc city, California","Lomita city, California","Value Note for Lomita city, California","Livingston city, California","Value Note for Livingston city, California","Lincoln city, California","Value Note for Lincoln city, California","Lathrop city, California","Value Note for Lathrop city, California"
"Population estimates, July 1, 2019,  (V2019)",,"462,628",,"42,853",,"20,320",,"14,896",,"48,275",,"24,483",
"Population estimates base, April 1, 2010,  (V2019)",,"462,221",,"42,438",,"20,256",,"13,020",,"42,926",,"17,589",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,0.10%,,1.00%,,0.30%,,14.40%,,12.50%,,39.20%,
"Population, Census, April 1, 2010",,"462,257",,"42,434",,"20,256",,"13,058",,"42,819",,"18,023",
"Persons under 5 years, percent",,6.70%,,7.80%,,6.70%,,7.50%,,5.90%,,7.50%,
"Persons under 18 years, percent",,22.90%,,27.30%,,19.70%,,30.50%,,22.80%,,27.50%,
"Persons 65 years and over, percent",,11.00%,,11.20%,,15.50%,,10.80%,,27.00%,,9.50%,
"Female persons, percent",,50.70%,,46.00%,,51.60%,,51.00%,,52.10%,,49.30%,
"White alone, percent",,52.00%,,66.50%,,58.10%,,27.80%,,81.70%,,45.30%,
"Black or African American alone, percent",(a),12.90%,,4.70%,,4.80%,,0.80%,,1.80%,,6.60%,
"American Indian and Alaska Native alone, percent",(a),0.90%,,2.10%,,0.80%,,1.10%,,0.20%,,0.50%,
"Asian alone, percent",(a),13.10%,,3.90%,,15.50%,,21.60%,,6.30%,,25.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.80%,,0.40%,,0.00%,,0.00%,,0.40%,,0.00%,
"Two or More Races, percent",,4.70%,,7.00%,,8.20%,,2.90%,,3.60%,,10.30%,
"Hispanic or Latino, percent",(b),42.50%,,56.30%,,34.30%,,73.60%,,20.50%,,41.60%,
"White alone, not Hispanic or Latino, percent",,28.10%,,31.60%,,40.90%,,3.50%,,68.20%,,22.70%,
"Veterans, 2014-2018",,"17,208",,"2,826",,897,,184,,"4,055",,529,
"Foreign born persons, percent, 2014-2018",,25.40%,,21.40%,,20.50%,,43.10%,,13.60%,,34.40%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,40.10%,,43.20%,,47.50%,,54.40%,,79.80%,,71.10%,
"Median value of owner-occupied housing units, 2014-2018",,"$519,300 ",,"$293,800 ",,"$586,200 ",,"$222,400 ",,"$416,800 ",,"$334,600 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,332 ",,"$1,749 ",,"$2,431 ",,"$1,373 ",,"$2,112 ",,"$1,945 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$504 ,,$436 ,,$554 ,,$365 ,,$679 ,,$552 ,
"Median gross rent, 2014-2018",,"$1,252 ",,"$1,138 ",,"$1,335 ",,"$1,027 ",,"$1,708 ",,"$1,659 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"166,460",,"13,468",,"8,078",,"3,650",,"17,607",,"5,373",
"Persons per household, 2014-2018",,2.76,,3,,2.53,,3.83,,2.66,,3.98,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,88.20%,,83.20%,,87.20%,,90.90%,,87.80%,,85.90%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,46.10%,,42.60%,,33.10%,,90.20%,,19.60%,,51.50%,
"Households with a computer, percent, 2014-2018",,91.40%,,87.30%,,93.80%,,85.10%,,94.70%,,93.50%,
"Households with a broadband Internet subscription, percent, 2014-2018",,82.30%,,80.00%,,86.20%,,77.10%,,88.00%,,88.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,80.20%,,78.30%,,87.20%,,53.40%,,92.40%,,78.60%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,30.60%,,12.70%,,33.90%,,9.80%,,33.50%,,18.00%,
"With a disability, under age 65 years, percent, 2014-2018",,7.10%,,9.70%,,7.60%,,5.40%,,5.70%,,9.90%,
"Persons  without health insurance, under age 65 years, percent",,10.60%,,12.60%,,11.60%,,10.90%,,5.10%,,8.20%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,65.70%,,59.50%,,67.00%,,65.30%,,52.10%,,61.30%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,60.60%,,57.80%,,60.90%,,58.00%,,46.60%,,51.30%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"984,077",,"62,887",,"31,126",,"10,060",,D,,"20,623",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"3,359,300",,"147,290",,"57,043",,"13,493",,"141,946",,D,
"Total manufacturers shipments, 2012 ($1,000)",(c),"4,464,417",,"108,449",,D,,D,,"176,918",,"529,206",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"6,962,345",,"12,585",,"11,812",,D,,"55,469",,"1,096,782",
"Total retail sales, 2012 ($1,000)",(c),"3,783,946",,"371,913",,"139,996",,"53,789",,"267,998",,"177,090",
"Total retail sales per capita, 2012",(c),"$8,087 ",,"$8,597 ",,"$6,818 ",,"$3,973 ",,"$6,037 ",,"$9,252 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,30.6,,26.2,,25.9,,25.4,,29.6,,43.6,
"Median household income (in 2018 dollars), 2014-2018",,"$60,551 ",,"$52,543 ",,"$69,827 ",,"$50,819 ",,"$81,417 ",,"$82,658 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$31,114 ",,"$22,379 ",,"$37,423 ",,"$16,923 ",,"$37,692 ",,"$24,245 ",
"Persons in poverty, percent",,18.10%,,19.10%,,11.70%,,17.50%,,7.40%,,10.90%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"43,731",,"2,420",,"2,534",,687,,"2,672",,"1,073",
"Men-owned firms, 2012",,"21,681",,"1,281",,"1,317",,449,,"1,300",,645,
"Women-owned firms, 2012",,"18,323",,800,,945,,114,,"1,046",,283,
"Minority-owned firms, 2012",,"25,159",,813,,"1,469",,613,,490,,649,
"Nonminority-owned firms, 2012",,"16,944",,"1,373",,976,,61,,"2,052",,373,
"Veteran-owned firms, 2012",,"3,172",,312,,193,,37,,277,,30,
"Nonveteran-owned firms, 2012",,"38,923",,"1,896",,"2,214",,636,,"2,238",,949,
"Population per square mile, 2010",,"9,191.30",,"3,659.00",,"10,599.70",,"3,514.90",,"2,129.70",,821.8,
"Land area in square miles, 2010",,50.29,,11.6,,1.91,,3.72,,20.11,,21.93,
FIPS Code,,"""0643000""",,"""0642524""",,"""0642468""",,"""0642006""",,"""0641474""",,"""0640704""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
