Fact,Fact Note,"Downey city, California","Value Note for Downey city, California","Dinuba city, California","Value Note for Dinuba city, California","Davis city, California","Value Note for Davis city, California","Covina city, California","Value Note for Covina city, California","Corona city, California","Value Note for Corona city, California","Colton city, California","Value Note for Colton city, California"
"Population estimates, July 1, 2019,  (V2019)",,"111,126",,"24,461",,"69,413",,"47,450",,"169,868",,"54,824",
"Population estimates base, April 1, 2010,  (V2019)",,"111,775",,"21,460",,"65,639",,"47,786",,"152,315",,"52,148",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,-0.60%,,14.00%,,5.70%,,-0.70%,,11.50%,,5.10%,
"Population, Census, April 1, 2010",,"111,772",,"21,453",,"65,622",,"47,796",,"152,374",,"52,154",
"Persons under 5 years, percent",,5.90%,,10.20%,,3.50%,,6.20%,,6.50%,,8.30%,
"Persons under 18 years, percent",,24.10%,,35.00%,,15.20%,,23.40%,,25.40%,,28.50%,
"Persons 65 years and over, percent",,11.50%,,8.40%,,11.00%,,13.60%,,9.90%,,10.20%,
"Female persons, percent",,51.10%,,50.30%,,51.80%,,51.70%,,50.30%,,52.90%,
"White alone, percent",,59.30%,,76.30%,,64.40%,,51.10%,,64.20%,,63.80%,
"Black or African American alone, percent",(a),3.20%,,0.40%,,2.30%,,3.90%,,5.90%,,7.20%,
"American Indian and Alaska Native alone, percent",(a),0.50%,,0.50%,,0.20%,,1.90%,,0.30%,,1.00%,
"Asian alone, percent",(a),7.40%,,2.30%,,22.20%,,13.50%,,11.10%,,4.70%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.40%,,0.00%,,0.20%,,0.00%,,0.50%,,0.20%,
"Two or More Races, percent",,3.00%,,2.50%,,6.80%,,5.30%,,4.70%,,3.50%,
"Hispanic or Latino, percent",(b),73.90%,,86.90%,,13.90%,,58.70%,,43.90%,,69.30%,
"White alone, not Hispanic or Latino, percent",,14.40%,,10.00%,,55.70%,,22.40%,,36.00%,,17.50%,
"Veterans, 2014-2018",,"2,395",,397,,"1,959",,"1,725",,"6,171",,"2,019",
"Foreign born persons, percent, 2014-2018",,33.30%,,28.50%,,19.80%,,25.50%,,25.20%,,21.30%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,50.60%,,52.00%,,43.80%,,55.60%,,64.50%,,50.40%,
"Median value of owner-occupied housing units, 2014-2018",,"$525,500 ",,"$180,500 ",,"$622,900 ",,"$467,400 ",,"$444,200 ",,"$233,000 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,375 ",,"$1,265 ",,"$2,552 ",,"$2,248 ",,"$2,320 ",,"$1,533 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$510 ,,$365 ,,$658 ,,$532 ,,$592 ,,$435 ,
"Median gross rent, 2014-2018",,"$1,376 ",,$911 ,,"$1,455 ",,"$1,390 ",,"$1,527 ",,"$1,129 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"33,187",,"6,073",,"24,597",,"15,259",,"49,658",,"16,549",
"Persons per household, 2014-2018",,3.38,,3.9,,2.69,,3.14,,3.32,,3.27,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,91.00%,,87.50%,,66.90%,,88.20%,,89.00%,,90.80%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,68.70%,,70.30%,,27.60%,,47.80%,,40.90%,,48.30%,
"Households with a computer, percent, 2014-2018",,92.60%,,85.50%,,97.40%,,93.70%,,93.20%,,88.20%,
"Households with a broadband Internet subscription, percent, 2014-2018",,81.90%,,73.50%,,92.60%,,84.00%,,89.00%,,78.60%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,78.00%,,61.40%,,97.50%,,85.90%,,85.30%,,75.30%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,22.80%,,7.70%,,75.20%,,26.50%,,27.20%,,16.40%,
"With a disability, under age 65 years, percent, 2014-2018",,5.10%,,7.40%,,3.60%,,6.70%,,5.40%,,7.30%,
"Persons  without health insurance, under age 65 years, percent",,12.50%,,11.10%,,3.90%,,8.00%,,10.50%,,11.30%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,65.90%,,62.40%,,58.30%,,65.80%,,66.10%,,61.00%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,59.10%,,51.50%,,56.00%,,60.70%,,58.30%,,52.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"247,665",,D,,D,,"98,743",,"261,426",,"58,049",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"1,293,720",,"33,906",,"289,790",,"358,612",,"485,053",,"742,099",
"Total manufacturers shipments, 2012 ($1,000)",(c),"1,037,022",,D,,D,,"343,985",,"4,810,505",,"1,090,706",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"338,525",,"43,604",,"495,851",,"143,256",,"7,238,959",,"642,122",
"Total retail sales, 2012 ($1,000)",(c),"1,163,833",,"257,907",,"466,032",,"671,067",,"2,616,052",,"480,873",
"Total retail sales per capita, 2012",(c),"$10,311 ",,"$11,235 ",,"$7,062 ",,"$13,881 ",,"$16,516 ",,"$9,052 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,31,,21.5,,22.2,,34.1,,36.9,,26.3,
"Median household income (in 2018 dollars), 2014-2018",,"$71,948 ",,"$42,145 ",,"$66,162 ",,"$69,449 ",,"$79,081 ",,"$50,063 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$27,370 ",,"$15,733 ",,"$38,961 ",,"$28,277 ",,"$31,074 ",,"$19,732 ",
"Persons in poverty, percent",,9.90%,,25.90%,,29.60%,,8.70%,,10.50%,,15.80%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"10,812",,819,,"4,463",,"5,071",,"13,644",,"3,927",
"Men-owned firms, 2012",,"5,324",,412,,"2,172",,"2,677",,"6,944",,"1,836",
"Women-owned firms, 2012",,"4,399",,321,,"1,793",,"1,720",,"4,537",,"1,698",
"Minority-owned firms, 2012",,"7,960",,579,,986,,"2,907",,"6,517",,"3,049",
"Nonminority-owned firms, 2012",,"2,436",,202,,"3,272",,"1,890",,"6,416",,734,
"Veteran-owned firms, 2012",,435,,30,,422,,272,,967,,353,
"Nonveteran-owned firms, 2012",,"9,988",,732,,"3,812",,"4,494",,"11,907",,"3,474",
"Population per square mile, 2010",,"9,008.10",,"3,315.80",,"6,637.20",,"6,802.70",,"3,924.60",,"3,403.40",
"Land area in square miles, 2010",,12.41,,6.47,,9.89,,7.03,,38.83,,15.32,
FIPS Code,,"""0619766""",,"""0619318""",,"""0618100""",,"""0616742""",,"""0616350""",,"""0614890""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
