Fact,Fact Note,"Marina city, California","Value Note for Marina city, California","San Anselmo town, California","Value Note for San Anselmo town, California","San Rafael city, California","Value Note for San Rafael city, California","Mill Valley city, California","Value Note for Mill Valley city, California","Corte Madera town, California","Value Note for Corte Madera town, California","Tiburon town, California","Value Note for Tiburon town, California"
"Population estimates, July 1, 2019,  (V2019)",,"22,781",,"12,476",,"58,440",,"14,259",,"9,751",,"9,084",
"Population estimates base, April 1, 2010,  (V2019)",,"19,718",,"12,309",,"57,698",,"13,905",,"9,265",,"8,947",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,15.50%,,1.40%,,1.30%,,2.50%,,5.20%,,1.50%,
"Population, Census, April 1, 2010",,"19,718",,"12,336",,"57,713",,"13,903",,"9,253",,"8,962",
"Persons under 5 years, percent",,8.70%,,3.00%,,6.10%,,3.30%,,6.50%,,3.60%,
"Persons under 18 years, percent",,22.10%,,22.10%,,21.90%,,23.70%,,26.20%,,21.30%,
"Persons 65 years and over, percent",,13.90%,,18.90%,,18.10%,,22.50%,,17.30%,,26.10%,
"Female persons, percent",,51.20%,,52.70%,,48.60%,,54.50%,,56.50%,,53.00%,
"White alone, percent",,50.20%,,91.40%,,67.10%,,87.40%,,83.90%,,86.80%,
"Black or African American alone, percent",(a),7.70%,,0.90%,,2.10%,,0.70%,,1.50%,,0.30%,
"American Indian and Alaska Native alone, percent",(a),0.60%,,0.00%,,0.40%,,0.30%,,0.00%,,0.30%,
"Asian alone, percent",(a),18.80%,,4.00%,,6.00%,,4.30%,,5.50%,,3.30%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),1.90%,,0.00%,,0.00%,,0.00%,,0.00%,,0.20%,
"Two or More Races, percent",,11.90%,,3.00%,,4.80%,,7.00%,,4.20%,,6.50%,
"Hispanic or Latino, percent",(b),29.50%,,5.30%,,31.40%,,6.50%,,8.20%,,8.10%,
"White alone, not Hispanic or Latino, percent",,34.10%,,87.20%,,56.50%,,83.80%,,78.60%,,81.90%,
"Veterans, 2014-2018",,"1,519",,352,,"2,415",,507,,273,,478,
"Foreign born persons, percent, 2014-2018",,24.90%,,7.30%,,27.90%,,12.50%,,12.90%,,18.90%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,44.50%,,72.80%,,49.70%,,72.00%,,69.30%,,70.70%,
"Median value of owner-occupied housing units, 2014-2018",,"$469,500 ",,"$1,039,000 ",,"$873,800 ",,"$1,510,800 ",,"$1,175,000 ",,"$2,000,000+",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,082 ",,"$3,685 ",,"$3,293 ",,"$4,000+",,"$4,000+",,"$4,000+",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$458 ,,$737 ,,$801 ,,"$1,172 ",,$756 ,,"$1,500+",
"Median gross rent, 2014-2018",,"$1,306 ",,"$1,798 ",,"$1,844 ",,"$2,392 ",,"$2,598 ",,"$2,315 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"7,549",,"5,293",,"22,982",,"6,081",,"3,893",,"3,817",
"Persons per household, 2014-2018",,2.74,,2.36,,2.48,,2.35,,2.53,,2.39,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,85.50%,,90.90%,,84.40%,,88.60%,,81.30%,,90.10%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,37.40%,,8.90%,,36.60%,,11.90%,,16.30%,,17.80%,
