Fact,Fact Note,"Riverside city, California","Value Note for Riverside city, California","Santee city, California","Value Note for Santee city, California","Novato city, California","Value Note for Novato city, California","Montclair city, California","Value Note for Montclair city, California","Belmont city, California","Value Note for Belmont city, California","Costa Mesa city, California","Value Note for Costa Mesa city, California"
"Population estimates, July 1, 2019,  (V2019)",,"331,360",,"58,081",,"55,516",,"40,083",,"26,941",,"113,003",
"Population estimates base, April 1, 2010,  (V2019)",,"303,933",,"53,420",,"51,869",,"36,645",,"25,833",,"110,078",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,9.00%,,8.70%,,7.00%,,9.40%,,4.30%,,2.70%,
"Population, Census, April 1, 2010",,"303,871",,"53,413",,"51,904",,"36,664",,"25,835",,"109,960",
"Persons under 5 years, percent",,6.50%,,6.10%,,5.00%,,6.20%,,6.20%,,5.70%,
"Persons under 18 years, percent",,24.10%,,21.60%,,19.70%,,26.10%,,23.30%,,20.30%,
"Persons 65 years and over, percent",,10.40%,,14.20%,,19.40%,,10.30%,,16.60%,,10.70%,
"Female persons, percent",,50.70%,,52.10%,,51.40%,,51.50%,,50.10%,,49.60%,
"White alone, percent",,60.90%,,80.70%,,73.10%,,45.30%,,62.10%,,71.60%,
"Black or African American alone, percent",(a),6.20%,,2.10%,,2.70%,,2.90%,,1.20%,,1.90%,
"American Indian and Alaska Native alone, percent",(a),0.80%,,0.80%,,0.20%,,0.80%,,0.20%,,0.40%,
"Asian alone, percent",(a),7.40%,,5.40%,,7.20%,,10.50%,,28.30%,,8.40%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.30%,,0.30%,,0.20%,,0.30%,,0.40%,,0.70%,
"Two or More Races, percent",,4.80%,,7.60%,,5.20%,,4.10%,,5.90%,,4.00%,
"Hispanic or Latino, percent",(b),53.30%,,18.10%,,18.70%,,70.30%,,10.80%,,36.10%,
"White alone, not Hispanic or Latino, percent",,30.30%,,69.10%,,65.20%,,13.50%,,55.20%,,49.80%,
"Veterans, 2014-2018",,"12,269",,"5,653",,"2,917",,"1,017",,938,,"4,282",
"Foreign born persons, percent, 2014-2018",,22.70%,,10.90%,,19.50%,,33.20%,,30.40%,,24.80%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,54.00%,,70.60%,,67.70%,,52.20%,,60.60%,,39.10%,
"Median value of owner-occupied housing units, 2014-2018",,"$344,700 ",,"$422,700 ",,"$732,200 ",,"$334,500 ",,"$1,383,700 ",,"$707,600 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,847 ",,"$2,253 ",,"$2,946 ",,"$1,737 ",,"$4,000 ",,"$2,702 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$483 ,,$576 ,,$746 ,,$397 ,,$781 ,,$546 ,
"Median gross rent, 2014-2018",,"$1,308 ",,"$1,682 ",,"$1,997 ",,"$1,269 ",,"$2,147 ",,"$1,786 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"90,866",,"19,650",,"22,077",,"10,429",,"10,328",,"41,019",
