Fact,Fact Note,"Monterey city, California","Value Note for Monterey city, California","Pacific Grove city, California","Value Note for Pacific Grove city, California","Duarte city, California","Value Note for Duarte city, California","San Marino city, California","Value Note for San Marino city, California","Visalia city, California","Value Note for Visalia city, California","Selma city, California","Value Note for Selma city, California"
"Population estimates, July 1, 2019,  (V2019)",,"28,178",,"15,413",,"21,271",,"13,048",,"134,605",,"24,825",
"Population estimates base, April 1, 2010,  (V2019)",,"27,691",,"15,039",,"21,325",,"13,101",,"124,528",,"23,380",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,1.80%,,2.50%,,-0.30%,,-0.40%,,8.10%,,6.20%,
"Population, Census, April 1, 2010",,"27,810",,"15,041",,"21,321",,"13,147",,"124,442",,"23,219",
"Persons under 5 years, percent",,5.20%,,3.50%,,4.70%,,4.10%,,8.80%,,8.00%,
"Persons under 18 years, percent",,16.20%,,18.60%,,19.30%,,22.90%,,30.20%,,31.10%,
"Persons 65 years and over, percent",,17.40%,,26.40%,,18.50%,,22.00%,,11.60%,,10.10%,
"Female persons, percent",,48.50%,,53.60%,,53.30%,,52.60%,,51.70%,,50.30%,
"White alone, percent",,77.70%,,87.30%,,56.30%,,31.90%,,75.10%,,80.10%,
"Black or African American alone, percent",(a),4.40%,,1.40%,,7.00%,,2.00%,,2.20%,,0.30%,
"American Indian and Alaska Native alone, percent",(a),0.60%,,0.30%,,0.90%,,0.00%,,1.00%,,0.60%,
"Asian alone, percent",(a),7.20%,,5.10%,,17.00%,,59.50%,,5.80%,,3.90%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,,0.00%,,0.00%,,0.40%,,0.10%,,1.00%,
"Two or More Races, percent",,6.60%,,4.50%,,7.30%,,3.50%,,4.90%,,4.10%,
"Hispanic or Latino, percent",(b),16.70%,,10.20%,,49.90%,,4.30%,,51.50%,,84.20%,
"White alone, not Hispanic or Latino, percent",,65.60%,,79.20%,,24.00%,,30.50%,,39.20%,,10.30%,
"Veterans, 2014-2018",,"2,417",,"1,047",,678,,308,,"5,406",,492,
"Foreign born persons, percent, 2014-2018",,16.20%,,10.70%,,33.20%,,41.60%,,13.40%,,24.70%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,38.40%,,47.50%,,64.40%,,86.40%,,60.30%,,58.90%,
"Median value of owner-occupied housing units, 2014-2018",,"$764,400 ",,"$825,100 ",,"$455,600 ",,"$1,886,000 ",,"$224,100 ",,"$174,500 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,759 ",,"$3,005 ",,"$2,168 ",,"$4,000+",,"$1,511 ",,"$1,434 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$658 ,,$543 ,,$478 ,,"$1,477 ",,$429 ,,$408 ,
"Median gross rent, 2014-2018",,"$1,711 ",,"$1,689 ",,"$1,517 ",,"$3,500+",,$998 ,,$940 ,
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"11,596",,"6,835",,"7,070",,"4,566",,"42,209",,"6,756",
"Persons per household, 2014-2018",,2.23,,2.24,,3.03,,2.89,,3.07,,3.62,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,74.50%,,80.70%,,94.00%,,91.10%,,87.00%,,87.80%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,23.50%,,15.60%,,54.30%,,50.60%,,32.40%,,60.60%,
"Households with a computer, percent, 2014-2018",,91.40%,,93.30%,,86.10%,,95.00%,,89.00%,,84.90%,
"Households with a broadband Internet subscription, percent, 2014-2018",,88.90%,,87.50%,,78.50%,,91.60%,,82.50%,,77.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,92.90%,,96.20%,,83.90%,,97.80%,,82.70%,,67.50%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,52.40%,,52.70%,,30.40%,,75.60%,,23.70%,,9.10%,
"With a disability, under age 65 years, percent, 2014-2018",,4.70%,,6.90%,,6.90%,,3.00%,,9.60%,,5.60%,
"Persons  without health insurance, under age 65 years, percent",,7.80%,,5.50%,,11.60%,,2.80%,,7.00%,,14.10%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,55.50%,,56.40%,,63.10%,,52.70%,,60.60%,,60.20%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,54.80%,,55.60%,,57.80%,,46.10%,,54.50%,,50.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"416,336",,"67,808",,"30,308",,"15,759",,"216,809",,"32,786",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"827,865",,"54,983",,"57,050",,D,,"961,840",,"101,991",
"Total manufacturers shipments, 2012 ($1,000)",(c),"116,862",,"3,619",,"272,664",,D,,"1,355,785",,"83,503",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"1,263,983",,D,,"363,215",,"45,259",,"1,749,656",,"105,809",
"Total retail sales, 2012 ($1,000)",(c),"464,534",,"136,986",,"502,805",,"26,688",,"1,873,654",,"358,814",
"Total retail sales per capita, 2012",(c),"$16,017 ",,"$8,891 ",,"$23,217 ",,"$2,011 ",,"$14,744 ",,"$15,090 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,16.1,,20.3,,30.5,,29.6,,21.3,,24.1,
"Median household income (in 2018 dollars), 2014-2018",,"$77,562 ",,"$81,623 ",,"$73,429 ",,"$159,509 ",,"$58,820 ",,"$41,560 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$44,941 ",,"$49,874 ",,"$32,512 ",,"$76,717 ",,"$26,458 ",,"$16,552 ",
"Persons in poverty, percent",,11.20%,,7.00%,,11.20%,,9.10%,,18.40%,,25.40%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"3,866",,"1,730",,"1,795",,"2,335",,"9,134",,"1,340",
"Men-owned firms, 2012",,"2,119",,824,,"1,016",,"1,126",,"4,801",,695,
"Women-owned firms, 2012",,"1,079",,696,,507,,852,,"2,978",,455,
"Minority-owned firms, 2012",,628,,215,,994,,"1,293",,"3,408",,952,
"Nonminority-owned firms, 2012",,"2,914",,"1,474",,645,,859,,"5,254",,321,
"Veteran-owned firms, 2012",,309,,138,,86,,121,,675,,104,
"Nonveteran-owned firms, 2012",,"3,189",,"1,505",,"1,585",,"2,022",,"7,858",,"1,115",
"Population per square mile, 2010",,"3,284.90",,"5,249.90",,"3,187.00",,"3,490.00",,"3,433.30",,"4,520.80",
"Land area in square miles, 2010",,8.47,,2.87,,6.69,,3.77,,36.25,,5.14,
FIPS Code,,"""0648872""",,"""0654848""",,"""0619990""",,"""0668224""",,"""0682954""",,"""0670882""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
