Fact,Fact Note,"Lakewood city, California","Value Note for Lakewood city, California","La Verne city, California","Value Note for La Verne city, California","La Habra city, California","Value Note for La Habra city, California","Kerman city, California","Value Note for Kerman city, California","Huntington Park city, California","Value Note for Huntington Park city, California","Huntington Beach city, California","Value Note for Huntington Beach city, California"
"Population estimates, July 1, 2019,  (V2019)",,"79,307",,"31,974",,"60,513",,"15,282",,"57,509",,"199,223",
"Population estimates base, April 1, 2010,  (V2019)",,"80,086",,"31,096",,"59,016",,"13,567",,"58,125",,"191,038",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,-1.00%,,2.80%,,2.50%,,12.60%,,-1.10%,,4.30%,
"Population, Census, April 1, 2010",,"80,048",,"31,063",,"60,239",,"13,544",,"58,114",,"189,992",
"Persons under 5 years, percent",,6.50%,,5.40%,,7.20%,,8.90%,,7.60%,,5.20%,
"Persons under 18 years, percent",,21.90%,,21.00%,,24.30%,,32.70%,,28.30%,,19.60%,
"Persons 65 years and over, percent",,13.30%,,18.50%,,12.50%,,11.20%,,8.30%,,16.90%,
"Female persons, percent",,51.40%,,51.30%,,51.40%,,49.90%,,50.00%,,49.60%,
"White alone, percent",,49.50%,,73.50%,,57.50%,,74.10%,,64.80%,,72.40%,
"Black or African American alone, percent",(a),7.60%,,3.40%,,1.00%,,0.00%,,1.30%,,1.40%,
"American Indian and Alaska Native alone, percent",(a),0.50%,,0.70%,,0.60%,,0.50%,,0.70%,,0.60%,
"Asian alone, percent",(a),19.10%,,9.40%,,12.10%,,5.00%,,0.60%,,12.10%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),1.20%,,0.10%,,0.00%,,0.00%,,0.30%,,0.40%,
"Two or More Races, percent",,5.90%,,6.10%,,4.50%,,3.30%,,1.00%,,5.40%,
"Hispanic or Latino, percent",(b),34.20%,,36.70%,,59.50%,,82.10%,,96.70%,,20.00%,
"White alone, not Hispanic or Latino, percent",,35.50%,,48.80%,,26.00%,,11.30%,,1.50%,,61.80%,
"Veterans, 2014-2018",,"3,720",,"1,703",,"2,058",,458,,426,,"10,579",
"Foreign born persons, percent, 2014-2018",,21.70%,,16.00%,,28.50%,,32.10%,,46.30%,,16.20%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,72.60%,,73.90%,,56.90%,,53.10%,,27.20%,,57.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$524,600 ",,"$562,300 ",,"$505,800 ",,"$208,700 ",,"$377,200 ",,"$728,200 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,273 ",,"$2,464 ",,"$2,297 ",,"$1,474 ",,"$1,867 ",,"$2,775 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$455 ,,$592 ,,$525 ,,$441 ,,$487 ,,$607 ,
"Median gross rent, 2014-2018",,"$1,735 ",,"$1,458 ",,"$1,483 ",,$929 ,,"$1,028 ",,"$1,832 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"25,931",,"11,367",,"18,660",,"3,855",,"14,577",,"76,821",
"Persons per household, 2014-2018",,3.11,,2.78,,3.29,,3.8,,4.02,,2.6,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,92.00%,,88.70%,,85.80%,,93.60%,,91.50%,,87.30%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,35.10%,,23.70%,,47.30%,,66.70%,,91.90%,,22.60%,
"Households with a computer, percent, 2014-2018",,94.00%,,94.30%,,94.30%,,85.40%,,84.00%,,94.10%,
"Households with a broadband Internet subscription, percent, 2014-2018",,89.20%,,87.10%,,87.70%,,74.00%,,71.70%,,88.50%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,90.10%,,92.10%,,82.90%,,57.30%,,45.00%,,92.50%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,29.90%,,37.00%,,27.40%,,7.00%,,5.90%,,42.90%,
"With a disability, under age 65 years, percent, 2014-2018",,5.20%,,8.60%,,6.30%,,7.30%,,5.00%,,5.60%,
"Persons  without health insurance, under age 65 years, percent",,7.10%,,5.70%,,10.60%,,10.20%,,21.20%,,7.00%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,65.70%,,60.70%,,67.90%,,64.90%,,64.60%,,66.60%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,62.40%,,55.80%,,62.40%,,52.40%,,54.50%,,60.90%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"169,078",,"64,862",,"102,631",,"10,274",,"82,705",,"534,833",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"329,182",,"73,335",,"82,647",,"11,878",,"185,827",,"551,072",
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,"204,698",,"168,893",,D,,"441,273",,D,
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"38,850",,"527,142",,"247,925",,"54,016",,"399,298",,"10,353,671",
"Total retail sales, 2012 ($1,000)",(c),"1,104,404",,"355,654",,"912,087",,"73,435",,"622,664",,"2,505,584",
"Total retail sales per capita, 2012",(c),"$13,663 ",,"$11,345 ",,"$14,857 ",,"$5,133 ",,"$10,612 ",,"$12,868 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,30.6,,31.5,,30.1,,25.3,,31.2,,29.7,
"Median household income (in 2018 dollars), 2014-2018",,"$89,469 ",,"$85,769 ",,"$76,452 ",,"$45,876 ",,"$40,638 ",,"$91,318 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$33,966 ",,"$38,679 ",,"$30,168 ",,"$16,726 ",,"$14,410 ",,"$47,078 ",
"Persons in poverty, percent",,6.40%,,7.70%,,11.50%,,20.00%,,26.10%,,8.80%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"6,018",,"2,800",,"5,085",,508,,"4,541",,"22,860",
"Men-owned firms, 2012",,"2,906",,"1,262",,"2,486",,238,,"2,187",,"12,431",
"Women-owned firms, 2012",,"2,318",,"1,142",,"1,987",,184,,"2,007",,"7,768",
"Minority-owned firms, 2012",,"3,279",,949,,"2,917",,338,,"3,953",,"6,872",
"Nonminority-owned firms, 2012",,"2,444",,"1,719",,"1,965",,137,,470,,"15,218",
"Veteran-owned firms, 2012",,281,,145,,392,,38,,133,,"2,044",
"Nonveteran-owned firms, 2012",,"5,308",,"2,443",,"4,463",,418,,"4,291",,"19,902",
"Population per square mile, 2010",,"8,502.20",,"3,684.80",,"8,173.50",,"4,189.30",,"19,287.80",,"7,103.00",
"Land area in square miles, 2010",,9.42,,8.43,,7.37,,3.23,,3.01,,26.75,
FIPS Code,,"""0639892""",,"""0640830""",,"""0639290""",,"""0638226""",,"""0636056""",,"""0636000""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
