Fact,Fact Note,"Buena Park city, California","Value Note for Buena Park city, California","Brentwood city, California","Value Note for Brentwood city, California","Brawley city, California","Value Note for Brawley city, California","Beverly Hills city, California","Value Note for Beverly Hills city, California","Benicia city, California","Value Note for Benicia city, California","Banning city, California","Value Note for Banning city, California"
"Population estimates, July 1, 2019,  (V2019)",,"81,788",,"64,474",,"26,227",,"33,792",,"28,240",,"31,221",
"Population estimates base, April 1, 2010,  (V2019)",,"80,619",,"51,627",,"24,976",,"33,921",,"27,035",,"29,592",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,1.50%,,24.90%,,5.00%,,-0.40%,,4.50%,,5.50%,
"Population, Census, April 1, 2010",,"80,530",,"51,481",,"24,953",,"34,109",,"26,997",,"29,603",
"Persons under 5 years, percent",,6.30%,,5.40%,,9.30%,,2.90%,,4.90%,,7.00%,
"Persons under 18 years, percent",,22.90%,,26.40%,,32.80%,,19.50%,,20.40%,,23.40%,
"Persons 65 years and over, percent",,12.40%,,14.70%,,12.30%,,21.60%,,19.10%,,26.30%,
"Female persons, percent",,50.40%,,51.70%,,52.00%,,52.50%,,50.70%,,51.90%,
"White alone, percent",,51.20%,,63.90%,,79.10%,,81.80%,,72.10%,,67.90%,
"Black or African American alone, percent",(a),3.00%,,7.80%,,1.80%,,1.70%,,5.80%,,8.70%,
"American Indian and Alaska Native alone, percent",(a),0.70%,,0.70%,,0.60%,,0.10%,,0.20%,,2.30%,
"Asian alone, percent",(a),31.30%,,10.70%,,0.90%,,9.50%,,11.60%,,5.10%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.90%,,0.60%,,0.50%,,0.00%,,0.20%,,0.00%,
"Two or More Races, percent",,3.90%,,8.70%,,6.40%,,4.80%,,7.50%,,3.10%,
"Hispanic or Latino, percent",(b),38.40%,,21.80%,,82.80%,,6.20%,,13.30%,,46.60%,
"White alone, not Hispanic or Latino, percent",,24.40%,,53.50%,,12.60%,,77.60%,,63.50%,,36.10%,
"Veterans, 2014-2018",,"2,805",,"3,755",,832,,"1,075",,"1,902",,"2,391",
"Foreign born persons, percent, 2014-2018",,36.50%,,14.80%,,26.00%,,35.50%,,12.50%,,18.00%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,56.50%,,75.20%,,55.60%,,41.40%,,71.00%,,64.30%,
"Median value of owner-occupied housing units, 2014-2018",,"$540,200 ",,"$543,900 ",,"$169,600 ",,"$2,000,000+",,"$557,600 ",,"$222,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$2,306 ",,"$2,780 ",,"$1,248 ",,"$4,000+",,"$2,364 ",,"$1,376 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$470 ,,$776 ,,$481 ,,"$1,500+",,$663 ,,$493 ,
"Median gross rent, 2014-2018",,"$1,586 ",,"$2,047 ",,$805 ,,"$2,130 ",,"$1,720 ",,"$1,008 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"23,443",,"19,543",,"6,707",,"15,000",,"11,130",,"10,885",
"Persons per household, 2014-2018",,3.49,,3.08,,3.86,,2.29,,2.52,,2.73,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,88.20%,,87.20%,,87.40%,,87.00%,,88.50%,,85.70%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,56.10%,,23.90%,,66.30%,,45.70%,,15.80%,,35.20%,
"Households with a computer, percent, 2014-2018",,93.20%,,95.10%,,82.70%,,93.20%,,94.30%,,85.10%,
"Households with a broadband Internet subscription, percent, 2014-2018",,87.30%,,91.30%,,73.20%,,89.10%,,91.90%,,74.30%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,83.80%,,92.90%,,70.30%,,95.90%,,96.50%,,79.00%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,29.90%,,31.90%,,13.50%,,63.00%,,43.40%,,15.50%,
"With a disability, under age 65 years, percent, 2014-2018",,5.50%,,7.30%,,10.80%,,4.30%,,7.10%,,10.10%,
"Persons  without health insurance, under age 65 years, percent",,11.50%,,2.90%,,8.40%,,5.80%,,3.30%,,11.10%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,65.10%,,62.30%,,55.50%,,61.20%,,65.10%,,44.20%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,58.70%,,55.40%,,52.60%,,51.70%,,62.70%,,38.60%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"183,615",,"88,838",,"26,146",,"782,336",,"40,246",,"41,263",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"180,379",,"88,320",,"159,692",,"1,254,355",,"29,704",,"106,855",
"Total manufacturers shipments, 2012 ($1,000)",(c),"1,990,266",,D,,D,,"33,924",,"7,511,875",,"72,861",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"2,044,852",,"18,341",,"187,902",,"647,529",,"733,696",,"72,016",
"Total retail sales, 2012 ($1,000)",(c),"1,731,094",,"557,189",,"141,954",,"2,912,276",,"266,637",,"176,702",
"Total retail sales per capita, 2012",(c),"$21,071 ",,"$10,381 ",,"$5,552 ",,"$84,116 ",,"$9,722 ",,"$5,830 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,30.8,,45.8,,21.9,,24.3,,34.8,,24.7,
