Fact,Fact Note,"Millbrae city, California","Value Note for Millbrae city, California","Merced city, California","Value Note for Merced city, California","Manteca city, California","Value Note for Manteca city, California","Manhattan Beach city, California","Value Note for Manhattan Beach city, California","Los Banos city, California","Value Note for Los Banos city, California","Los Angeles city, California","Value Note for Los Angeles city, California"
"Population estimates, July 1, 2019,  (V2019)",,"22,394",,"83,676",,"83,028",,"35,183",,"41,036",,"3,979,576",
"Population estimates base, April 1, 2010,  (V2019)",,"21,537",,"78,958",,"67,348",,"35,131",,"35,971",,"3,793,139",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,4.00%,,6.00%,,23.30%,,0.10%,,14.10%,,4.90%,
"Population, Census, April 1, 2010",,"21,532",,"78,958",,"67,096",,"35,135",,"35,972",,"3,792,621",
"Persons under 5 years, percent",,4.60%,,7.90%,,7.70%,,6.50%,,8.80%,,6.00%,
"Persons under 18 years, percent",,19.30%,,29.70%,,26.50%,,25.90%,,33.70%,,21.00%,
"Persons 65 years and over, percent",,18.80%,,10.20%,,12.40%,,16.90%,,9.00%,,12.10%,
"Female persons, percent",,51.00%,,50.50%,,51.30%,,50.80%,,50.50%,,50.40%,
"White alone, percent",,40.90%,,56.80%,,68.10%,,79.60%,,61.20%,,52.40%,
"Black or African American alone, percent",(a),0.70%,,6.10%,,4.00%,,0.50%,,1.70%,,8.90%,
"American Indian and Alaska Native alone, percent",(a),0.40%,,0.90%,,0.80%,,0.20%,,0.60%,,0.70%,
"Asian alone, percent",(a),47.90%,,12.60%,,9.30%,,12.00%,,3.10%,,11.60%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,,0.10%,,0.70%,,0.00%,,0.70%,,0.20%,
"Two or More Races, percent",,5.60%,,4.30%,,7.90%,,5.70%,,4.70%,,3.60%,
"Hispanic or Latino, percent",(b),11.90%,,52.60%,,39.80%,,8.30%,,71.90%,,48.60%,
"White alone, not Hispanic or Latino, percent",,34.20%,,27.00%,,41.90%,,74.30%,,21.30%,,28.50%,
"Veterans, 2014-2018",,895,,"3,304",,"4,010",,"1,514",,"1,322",,"85,949",
"Foreign born persons, percent, 2014-2018",,39.40%,,22.20%,,16.20%,,12.30%,,27.00%,,37.30%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,64.10%,,40.60%,,59.40%,,69.90%,,55.20%,,36.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$1,230,900 ",,"$212,100 ",,"$352,700 ",,"$1,947,900 ",,"$265,500 ",,"$599,700 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$3,689 ",,"$1,443 ",,"$1,905 ",,"$4,000+",,"$1,578 ",,"$2,629 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$777 ,,$444 ,,$534 ,,$905 ,,$443 ,,$692 ,
"Median gross rent, 2014-2018",,"$2,320 ",,$954 ,,"$1,379 ",,"$2,499 ",,"$1,181 ",,"$1,376 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"8,044",,"25,827",,"24,468",,"13,520",,"10,568",,"1,373,864",
"Persons per household, 2014-2018",,2.79,,3.14,,3.12,,2.63,,3.59,,2.82,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,89.60%,,83.00%,,86.10%,,88.70%,,87.40%,,88.00%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,49.60%,,46.00%,,28.70%,,16.10%,,54.20%,,59.30%,
"Households with a computer, percent, 2014-2018",,93.80%,,89.20%,,91.80%,,96.70%,,90.10%,,89.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,87.20%,,84.60%,,86.00%,,93.90%,,74.60%,,80.70%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,92.80%,,74.20%,,83.90%,,97.90%,,71.30%,,77.00%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,51.50%,,17.70%,,15.50%,,74.70%,,10.90%,,33.70%,
"With a disability, under age 65 years, percent, 2014-2018",,4.70%,,12.20%,,8.80%,,3.00%,,7.20%,,6.30%,
"Persons  without health insurance, under age 65 years, percent",,3.60%,,8.30%,,5.70%,,2.80%,,10.20%,,14.20%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,63.50%,,57.10%,,60.80%,,63.60%,,63.20%,,66.40%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,56.70%,,49.00%,,53.70%,,54.90%,,52.70%,,59.80%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"116,497",,"107,695",,"103,677",,"247,030",,"42,953",,"9,295,589",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"53,043",,"586,717",,"486,282",,"196,101",,"87,652",,"29,830,223",
"Total manufacturers shipments, 2012 ($1,000)",(c),D,,"273,926",,D,,D,,D,,"43,502,545",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),D,,"1,669,504",,"225,120",,D,,"122,850",,"63,834,855",
"Total retail sales, 2012 ($1,000)",(c),"183,988",,"945,615",,"824,048",,"772,127",,"270,465",,"40,156,864",
"Total retail sales per capita, 2012",(c),"$8,334 ",,"$11,704 ",,"$11,595 ",,"$21,605 ",,"$7,360 ",,"$10,409 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,30,,24.2,,37,,31.2,,43.2,,31.4,
"Median household income (in 2018 dollars), 2014-2018",,"$120,565 ",,"$42,637 ",,"$69,255 ",,"$150,083 ",,"$53,901 ",,"$58,385 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$54,619 ",,"$20,363 ",,"$27,130 ",,"$93,616 ",,"$20,971 ",,"$33,420 ",
"Persons in poverty, percent",,4.70%,,29.70%,,10.90%,,3.30%,,20.70%,,19.10%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"2,385",,"4,222",,"4,614",,"6,059",,"1,934",,"497,999",
"Men-owned firms, 2012",,"1,068",,"2,201",,"2,575",,"3,244",,"1,007",,"262,460",
"Women-owned firms, 2012",,937,,"1,472",,"1,558",,"1,888",,700,,"192,358",
"Minority-owned firms, 2012",,"1,426",,"2,217",,"2,030",,"1,030",,"1,234",,"247,710",
"Nonminority-owned firms, 2012",,918,,"1,704",,"2,332",,"4,719",,628,,"235,220",
"Veteran-owned firms, 2012",,96,,434,,399,,311,,96,,"30,581",
"Nonveteran-owned firms, 2012",,"2,197",,"3,483",,"3,955",,"5,397",,"1,767",,"452,817",
"Population per square mile, 2010",,"6,631.40",,"3,386.40",,"3,783.70",,"8,924.30",,"3,599.70",,"8,092.30",
"Land area in square miles, 2010",,3.25,,23.32,,17.73,,3.94,,9.99,,468.67,
FIPS Code,,"""0647486""",,"""0646898""",,"""0645484""",,"""0645400""",,"""0644028""",,"""0644000""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
