Fact,Fact Note,"Los Alamitos city, California","Value Note for Los Alamitos city, California","Stanton city, California","Value Note for Stanton city, California","Lawndale city, California","Value Note for Lawndale city, California","San Dimas city, California","Value Note for San Dimas city, California","Cypress city, California","Value Note for Cypress city, California","Menifee city, California","Value Note for Menifee city, California"
"Population estimates, July 1, 2019,  (V2019)",,"11,399",,"38,139",,"32,389",,"33,621",,"49,006",,"94,756",
"Population estimates base, April 1, 2010,  (V2019)",,"11,376",,"37,827",,"32,769",,"33,375",,"47,865",,"77,382",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,0.20%,,0.80%,,-1.20%,,0.70%,,2.40%,,22.50%,
"Population, Census, April 1, 2010",,"11,449",,"38,186",,"32,769",,"33,371",,"47,802",,"77,519",
"Persons under 5 years, percent",,5.50%,,7.20%,,7.10%,,5.10%,,4.60%,,6.70%,
"Persons under 18 years, percent",,22.30%,,25.80%,,23.50%,,20.20%,,22.20%,,24.70%,
"Persons 65 years and over, percent",,16.00%,,11.30%,,9.50%,,19.20%,,14.90%,,18.30%,
"Female persons, percent",,52.30%,,50.70%,,48.90%,,53.10%,,51.30%,,51.50%,
"White alone, percent",,63.20%,,53.20%,,41.40%,,68.50%,,53.30%,,64.90%,
"Black or African American alone, percent",(a),6.00%,,1.40%,,8.60%,,3.40%,,3.80%,,6.30%,
"American Indian and Alaska Native alone, percent",(a),0.00%,,1.30%,,0.30%,,0.90%,,0.40%,,0.80%,
"Asian alone, percent",(a),14.70%,,27.00%,,10.60%,,14.80%,,34.30%,,5.80%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.20%,,0.90%,,0.80%,,0.10%,,0.40%,,0.40%,
"Two or More Races, percent",,9.60%,,3.70%,,7.70%,,5.00%,,4.80%,,5.40%,
"Hispanic or Latino, percent",(b),26.00%,,49.20%,,63.50%,,33.40%,,19.50%,,35.90%,
"White alone, not Hispanic or Latino, percent",,46.60%,,19.20%,,15.00%,,45.90%,,37.90%,,48.70%,
"Veterans, 2014-2018",,523,,901,,976,,"1,566",,"2,151",,"7,235",
"Foreign born persons, percent, 2014-2018",,16.60%,,43.80%,,37.80%,,19.40%,,29.00%,,15.10%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
