Fact,Fact Note,"Red Bluff city, California","Value Note for Red Bluff city, California","Poway city, California","Value Note for Poway city, California","Port Hueneme city, California","Value Note for Port Hueneme city, California","Pleasanton city, California","Value Note for Pleasanton city, California","Pismo Beach city, California","Value Note for Pismo Beach city, California","Pico Rivera city, California","Value Note for Pico Rivera city, California"
"Population estimates, July 1, 2019,  (V2019)",,"14,539",,"49,323",,"21,926",,"81,777",,"8,168",,"62,027",
"Population estimates base, April 1, 2010,  (V2019)",,"14,071",,"47,805",,"21,743",,"70,280",,"7,655",,"62,958",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,3.30%,,3.20%,,0.80%,,16.40%,,6.70%,,-1.50%,
"Population, Census, April 1, 2010",,"14,076",,"47,811",,"21,723",,"70,285",,"7,655",,"62,942",
"Persons under 5 years, percent",,8.40%,,6.10%,,8.80%,,4.50%,,3.70%,,5.90%,
"Persons under 18 years, percent",,25.90%,,24.40%,,24.40%,,25.10%,,10.90%,,23.40%,
"Persons 65 years and over, percent",,15.10%,,16.30%,,10.80%,,13.90%,,30.90%,,14.40%,
"Female persons, percent",,51.60%,,51.30%,,48.70%,,50.90%,,52.80%,,51.10%,
"White alone, percent",,86.10%,,75.90%,,70.90%,,57.80%,,89.40%,,53.80%,
"Black or African American alone, percent",(a),1.60%,,1.50%,,4.60%,,2.00%,,2.60%,,0.80%,
"American Indian and Alaska Native alone, percent",(a),3.40%,,0.90%,,0.70%,,0.30%,,0.20%,,0.70%,
"Asian alone, percent",(a),2.90%,,11.70%,,5.90%,,32.80%,,2.10%,,2.80%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.00%,,0.20%,,1.00%,,0.50%,,0.00%,,0.10%,
"Two or More Races, percent",,4.50%,,5.20%,,9.30%,,5.00%,,3.00%,,2.10%,
"Hispanic or Latino, percent",(b),16.70%,,18.10%,,59.40%,,9.30%,,8.50%,,90.60%,
"White alone, not Hispanic or Latino, percent",,74.10%,,64.80%,,26.10%,,51.30%,,83.80%,,5.40%,
"Veterans, 2014-2018",,863,,"3,700",,"1,380",,"2,768",,875,,"1,636",
"Foreign born persons, percent, 2014-2018",,7.10%,,19.60%,,21.30%,,30.20%,,6.60%,,30.10%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,38.00%,,73.80%,,48.10%,,69.90%,,61.90%,,67.30%,
"Median value of owner-occupied housing units, 2014-2018",,"$160,700 ",,"$658,200 ",,"$385,900 ",,"$933,500 ",,"$689,900 ",,"$415,100 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,$961 ,,"$2,854 ",,"$2,089 ",,"$3,370 ",,"$2,618 ",,"$1,913 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$352 ,,$722 ,,$521 ,,$714 ,,$641 ,,$358 ,
"Median gross rent, 2014-2018",,$831 ,,"$1,534 ",,"$1,656 ",,"$2,251 ",,"$1,678 ",,"$1,304 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"5,597",,"15,766",,"6,593",,"28,498",,"4,245",,"16,681",
"Persons per household, 2014-2018",,2.44,,3.12,,3.22,,2.83,,1.91,,3.77,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,79.40%,,87.50%,,81.00%,,86.70%,,86.60%,,93.90%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,12.40%,,25.50%,,46.80%,,35.30%,,8.30%,,69.90%,
"Households with a computer, percent, 2014-2018",,81.70%,,96.10%,,90.30%,,96.90%,,93.40%,,87.10%,
"Households with a broadband Internet subscription, percent, 2014-2018",,71.00%,,92.80%,,83.80%,,94.10%,,88.20%,,77.00%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,88.10%,,91.80%,,79.60%,,96.20%,,96.70%,,71.30%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,12.10%,,47.80%,,19.80%,,62.90%,,47.80%,,12.70%,
"With a disability, under age 65 years, percent, 2014-2018",,17.40%,,5.80%,,9.00%,,3.50%,,6.70%,,5.70%,
"Persons  without health insurance, under age 65 years, percent",,10.40%,,4.50%,,13.60%,,2.70%,,9.00%,,12.40%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,51.90%,,63.10%,,60.40%,,66.40%,,58.70%,,61.10%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,47.80%,,57.40%,,56.70%,,56.80%,,47.60%,,55.30%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"35,514",,"69,702",,"27,176",,"247,683",,"133,072",,"104,954",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),D,,"349,071",,"22,341",,"987,499",,"57,100",,"117,722",
"Total manufacturers shipments, 2012 ($1,000)",(c),"55,152",,"3,400,266",,D,,"836,874",,"2,531",,"433,303",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),D,,"1,103,477",,D,,"2,651,340",,"7,062",,"1,419,821",
"Total retail sales, 2012 ($1,000)",(c),"259,152",,"969,925",,"89,853",,"1,662,290",,"162,621",,"1,480,264",
"Total retail sales per capita, 2012",(c),"$18,306 ",,"$19,766 ",,"$4,111 ",,"$22,979 ",,"$20,889 ",,"$23,303 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,15.9,,25.7,,24.1,,35.3,,21.2,,31,
"Median household income (in 2018 dollars), 2014-2018",,"$31,065 ",,"$105,732 ",,"$65,243 ",,"$148,852 ",,"$88,003 ",,"$65,666 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$18,077 ",,"$43,834 ",,"$24,054 ",,"$64,504 ",,"$60,148 ",,"$22,076 ",
"Persons in poverty, percent",,26.70%,,6.60%,,12.50%,,4.00%,,5.80%,,10.00%,
"Total employer establishments, 2018",,X,,X,,X,,X,,X,,X,
"Total employment, 2018",,X,,X,,X,,X,,X,,X,
"Total annual payroll, 2018 ($1,000)",,X,,X,,X,,X,,X,,X,
"Total employment, percent change, 2017-2018",,X,,X,,X,,X,,X,,X,
"Total nonemployer establishments, 2018",,X,,X,,X,,X,,X,,X,
"All firms, 2012",,"1,355",,"5,301",,"1,269",,"7,637",,"1,475",,"4,396",
"Men-owned firms, 2012",,770,,"2,624",,630,,"3,872",,644,,"2,621",
"Women-owned firms, 2012",,391,,"1,583",,446,,"2,362",,563,,"1,418",
"Minority-owned firms, 2012",,274,,"1,293",,695,,"2,230",,266,,"3,806",
"Nonminority-owned firms, 2012",,"1,006",,"3,615",,489,,"4,775",,"1,129",,430,
"Veteran-owned firms, 2012",,145,,376,,50,,612,,122,,234,
"Nonveteran-owned firms, 2012",,"1,138",,"4,447",,"1,134",,"6,434",,"1,263",,"4,025",
"Population per square mile, 2010",,"1,861.20",,"1,223.40",,"4,880.50",,"2,914.80",,"2,127.00",,"7,587.00",
"Land area in square miles, 2010",,7.56,,39.08,,4.45,,24.11,,3.6,,8.3,
FIPS Code,,"""0659892""",,"""0658520""",,"""0658296""",,"""0657792""",,"""0657414""",,"""0656924""",
,,,,,,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Notes,,,,,,,,,,,,,
None,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fact Notes,,,,,,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,,,,,,
,,,,,,,,,,,,,
Value Flags,,,,,,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,,,,,,
F,Fewer than 25 firms,,,,,,,,,,,,
FN,Footnote on this item in place of data,,,,,,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,,,,,
NA,Not available,,,,,,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,,,,,,
X,Not applicable,,,,,,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,,,,,,
