Fact,Fact Note,"Coalinga city, California","Value Note for Coalinga city, California","Chino Hills city, California","Value Note for Chino Hills city, California","Chino city, California","Value Note for Chino city, California","Cerritos city, California","Value Note for Cerritos city, California","Ceres city, California","Value Note for Ceres city, California","Burbank city, California","Value Note for Burbank city, California"
"Population estimates, July 1, 2019,  (V2019)",,"17,179",,"83,853",,"94,371",,"49,859",,"48,706",,"102,511",
"Population estimates base, April 1, 2010,  (V2019)",,"18,342",,"74,792",,"78,069",,"49,043",,"45,843",,"103,357",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,-6.30%,,12.10%,,20.90%,,1.70%,,6.20%,,-0.80%,
"Population, Census, April 1, 2010",,"13,380",,"74,799",,"77,983",,"49,041",,"45,417",,"103,340",
"Persons under 5 years, percent",,7.20%,,6.30%,,5.90%,,4.50%,,7.90%,,5.80%,
"Persons under 18 years, percent",,24.60%,,23.80%,,20.90%,,19.50%,,31.10%,,18.80%,
"Persons 65 years and over, percent",,6.90%,,10.80%,,10.80%,,22.80%,,9.40%,,15.00%,
"Female persons, percent",,40.70%,,51.30%,,41.80%,,51.20%,,49.40%,,51.40%,
"White alone, percent",,57.90%,,47.40%,,49.00%,,20.60%,,65.10%,,70.40%,
"Black or African American alone, percent",(a),3.30%,,4.20%,,6.20%,,7.50%,,3.70%,,2.80%,
"American Indian and Alaska Native alone, percent",(a),3.00%,,0.60%,,0.50%,,0.40%,,1.10%,,0.70%,
"Asian alone, percent",(a),2.60%,,34.00%,,13.10%,,60.00%,,7.00%,,12.50%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.60%,,0.10%,,0.60%,,0.50%,,0.50%,,0.00%,
"Two or More Races, percent",,6.90%,,4.80%,,7.10%,,5.50%,,2.80%,,4.90%,
"Hispanic or Latino, percent",(b),57.90%,,29.10%,,52.00%,,13.50%,,62.80%,,23.70%,
"White alone, not Hispanic or Latino, percent",,30.20%,,29.60%,,24.50%,,14.90%,,23.70%,,56.70%,
"Veterans, 2014-2018",,709,,"2,741",,"4,165",,"1,894",,"1,410",,"3,443",
"Foreign born persons, percent, 2014-2018",,18.50%,,29.60%,,22.90%,,43.90%,,25.50%,,32.80%,
"Housing units,  July 1, 2019,  (V2019)",,X,,X,,X,,X,,X,,X,
"Owner-occupied housing unit rate, 2014-2018",,53.70%,,75.50%,,62.50%,,77.90%,,59.90%,,41.80%,
"Median value of owner-occupied housing units, 2014-2018",,"$165,900 ",,"$597,400 ",,"$433,700 ",,"$660,800 ",,"$250,900 ",,"$688,500 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,410 ",,"$2,503 ",,"$2,208 ",,"$2,555 ",,"$1,505 ",,"$2,799 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$452 ,,$726 ,,$550 ,,$512 ,,$446 ,,$551 ,
"Median gross rent, 2014-2018",,$851 ,,"$2,053 ",,"$1,559 ",,"$2,284 ",,"$1,119 ",,"$1,630 ",
"Building permits, 2019",,X,,X,,X,,X,,X,,X,
"Households, 2014-2018",,"4,146",,"24,374",,"20,536",,"15,406",,"12,888",,"41,505",
"Persons per household, 2014-2018",,3.12,,3.25,,3.43,,3.25,,3.66,,2.5,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,76.30%,,87.60%,,80.10%,,92.10%,,86.10%,,88.90%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,39.30%,,42.80%,,40.10%,,57.10%,,58.50%,,44.90%,
"Households with a computer, percent, 2014-2018",,88.90%,,97.30%,,95.30%,,94.60%,,89.80%,,90.60%,
